,Name,PriceCurrency,TenforeId,LegalName,ClosePrice,StarRatingM255,SustainabilityRank,QuantitativeRating,CategoryName,Yield_M12,GBRReturnD1,GBRReturnW1,GBRReturnM1,GBRReturnM3,GBRReturnM6,GBRReturnM0,GBRReturnM12,GBRReturnM36,GBRReturnM60,GBRReturnM120,MaxFrontEndLoad,OngoingCostActual,PerformanceFeeActual,TransactionFeeActual,MaximumExitCostAcquired,FeeLevel,ManagerTenure,MaxDeferredLoad,FundTNAV,EquityStyleBox,AverageMarketCapital,MorningstarRiskM255,AlphaM36,BetaM36,R2M36,StandardDeviationM36,SharpeM36,InvestorTypeRetail,InvestorTypeProfessional,InvestorTypeEligibleCounterparty,ExpertiseBasic,ExpertiseAdvanced,ExpertiseInformed,ReturnProfilePreservation,ReturnProfileGrowth,ReturnProfileIncome,ReturnProfileHedging,ReturnProfileOther,TrackRecordExtension
F0GBR04EZC,Schroder ISF Eurp Eq Yld A1 Acc EUR,EUR,52.8.LU0133709153,Schroder International Selection Fund European Equity Yield A1 Accumulation EUR,19.6567,2,2,,Europe Equity Income,0.0,-0.07,0.01,2.79,6.98,23.69,21.69,35.99,0.67,5.27,6.0,4.0,2.36,0.0,0.2,,,5.17,,79539483.0,1,17827.415559999998,4,-5.82,1.27,89.39,21.64,0.07,1,1,1,1,1,1,2,1,1,3.0,2.0,True
F0GBR04AGW,Schroder ISF Eurp Eq Yld A Acc EUR,EUR,52.8.LU0106236267,Schroder International Selection Fund European Equity Yield A Accumulation EUR,21.6908,3,2,,Europe Equity Income,0.0,-0.07,0.02,2.84,7.11,24.0,21.95,36.66,1.17,5.79,6.5,5.0,1.86,0.0,0.2,,,5.17,,79539483.0,1,17827.415559999998,4,-5.32,1.27,89.39,21.64,0.09,1,1,1,1,1,1,2,1,1,3.0,2.0,False
F000000JYW,Schroder ISF Eurp Div Mxmsr A Acc EUR,EUR,52.8.LU0319791538,Schroder International Selection Fund European Dividend Maximiser A Accumulation EUR,103.5276,1,2,,Europe Equity Income,0.0,0.62,0.62,5.06,6.44,14.91,11.82,15.73,-4.82,0.85,3.37,5.0,1.88,0.0,0.42,,,5.17,,307760926.0,2,22592.0049,4,-10.8,1.06,91.68,17.59,-0.28,1,1,1,1,1,1,2,1,1,3.0,2.0,False
F000000JZ1,Schroder ISF Eurp Div Mxmsr I Acc EUR,EUR,52.8.LU0319792007,Schroder International Selection Fund European Dividend Maximiser I Accumulation EUR,133.6453,2,2,,Europe Equity Income,0.0,0.62,0.65,5.23,6.94,15.98,12.74,17.88,-3.06,2.71,5.29,0.0,0.07,0.0,0.42,,,5.17,,307760926.0,2,22592.0049,4,-9.0,1.06,91.7,17.62,-0.18,1,1,1,1,1,1,2,1,1,3.0,2.0,False
F00000LNV7,UBS(LUX) ES Eurp Hi Div EUR CHF P-acc,CHF,52.8.LU0571745792,UBS (Lux) Equity SICAV - European High Dividend (EUR) (CHF) P-acc,141.34,3,3,,Europe Equity Income,0.0,-0.21,-0.3,0.62,5.68,15.99,13.57,22.19,0.73,4.25,3.96,3.0,1.56,0.0,0.5,,,5.67,,192080760.0,1,29809.24131,3,-2.82,0.98,97.25,15.67,0.16,1,1,1,1,1,1,3,1,1,3.0,2.0,False
F0000000Y6,Invesco Pan European Eq Inc A EUR Acc,EUR,52.8.LU0267986122,Invesco Funds - Invesco Pan European Equity Income Fund A Accumulation EUR,17.69,3,3,,Europe Equity Income,0.0,0.74,0.68,4.0,7.8,21.16,17.46,31.04,2.96,4.78,7.81,5.0,1.8,0.0,0.35,,,7.08,,52249895.0,1,29111.91473,4,-3.27,1.14,94.29,18.58,0.17,1,1,1,1,1,1,3,1,1,3.0,2.0,False
F00000LLTT,BGF European Equity Income A2,EUR,52.8.LU0562822386,BlackRock Global Funds - European Equity Income Fund A2,23.73,4,3,2.0,Europe Equity Income,0.0,0.76,1.89,4.17,6.36,13.92,10.63,23.21,7.63,6.4,9.07,5.2632,1.83,,0.54,,,10.5,,1677133292.0,2,33564.921239999996,2,2.19,0.88,88.76,15.18,0.45,1,1,1,1,1,1,3,1,1,3.0,2.0,False
F00000LX1G,BGF European Equity Income D2,EUR,52.8.LU0579997130,BlackRock Global Funds - European Equity Income Fund D2,25.47,5,3,2.0,Europe Equity Income,0.0,0.79,1.92,4.21,6.57,14.32,11.03,24.12,8.45,7.21,9.81,5.2632,1.08,,0.54,,,10.5,,1677133292.0,2,33564.921239999996,3,2.94,0.88,88.76,15.21,0.5,1,1,1,1,1,1,3,1,1,3.0,2.0,False
F0000044CN,CS (Lux) European Div Plus Eq B EUR,EUR,52.8.LU0439729368,CS Invm Fds 2 - Credit Suisse (Lux) European Dividend Plus Equity Fund B EUR,20.41,3,2,,Europe Equity Income,0.0,0.0,0.79,0.34,5.59,10.5,10.09,11.71,5.06,4.83,6.11,5.0,1.86,0.0,-0.05,,,11.75,,141668906.0,1,39307.9705,1,0.17,0.77,92.5,13.0,0.32,1,1,1,1,1,1,3,1,1,3.0,2.0,False
F000003VPU,Kempen (Lux) European High Dvd A,EUR,52.8.LU0427929939,Kempen International Funds - Kempen (Lux) European High Dividend Fund Class A,59.56,3,2,6.0,Europe Equity Income,0.0,0.29,0.02,1.0,5.88,15.23,16.01,24.14,2.58,5.15,5.86,0.0,1.75,0.0,-0.08,,,12.08,,11763569.0,1,21585.3563,4,-3.72,1.1,95.39,18.09,0.14,1,1,1,1,1,1,3,1,3,3.0,2.0,True
F000002MYR,Allianz European Equity Div CT EUR,EUR,52.8.LU0414046390,Allianz Global Investors Fund - Allianz European Equity Dividend CT EUR,256.28,2,3,,Europe Equity Income,0.0,0.35,0.42,2.38,5.55,15.03,12.53,19.86,-0.53,2.61,4.57,5.0,2.58,0.0,0.11,,,12.25,,1702288950.0,1,34009.11787,3,-6.18,1.03,94.73,16.81,-0.03,1,1,1,1,1,1,3,1,1,3.0,2.0,False
F000002MYQ,Allianz European Equity Div AT EUR,EUR,52.8.LU0414045822,Allianz Global Investors Fund - Allianz European Equity Dividend AT EUR,280.83,3,3,,Europe Equity Income,0.0,0.36,0.43,2.45,5.75,15.47,12.91,20.77,0.22,3.38,5.35,5.0,1.83,0.0,0.11,,,12.25,,1702288950.0,1,34009.11787,3,-5.43,1.04,94.73,16.82,0.02,1,1,1,1,1,1,3,1,1,3.0,2.0,False
F0GBR04TV9,Danske Invest Europe High Dividend A,EUR,52.8.LU0123484957,Danske Invest SICAV - Europe High Dividend A,33.763000000000005,3,2,,Europe Equity Income,0.0,0.18,0.31,2.42,5.68,14.29,13.04,21.51,6.21,5.44,6.22,3.0,1.87,0.0,0.02,,,15.0,,10916278.0,1,37356.38945,3,0.42,0.94,94.66,15.24,0.36,1,1,1,1,1,1,3,1,2,3.0,2.0,False
F0GBR05WLD,JPM Europe Strategic Dividend A (acc)EUR,EUR,52.8.LU0169527297,JPMorgan Investment Funds - Europe Strategic Dividend Fund A (acc) - EUR,232.63,3,2,,Europe Equity Income,0.0,0.29,0.29,3.18,8.37,21.22,18.97,31.28,2.9,4.53,6.29,5.0,1.74,,0.91,,,16.33,,671279092.0,1,17468.55155,4,-3.06,1.11,94.7,18.42,0.18,1,1,1,1,1,1,3,1,1,3.0,2.0,False
F000000FQ9,JPM Europe Strategic Dividend X (acc)EUR,EUR,52.8.LU0169528428,JPMorgan Investment Funds - Europe Strategic Dividend Fund X (acc) - EUR,188.11,4,2,,Europe Equity Income,0.0,0.29,0.33,3.33,8.81,22.19,19.82,33.37,4.52,6.17,8.07,0.0,0.16,,0.91,,,16.33,,671279092.0,1,17468.55155,4,-1.49,1.12,94.71,18.45,0.26,1,1,1,1,1,1,3,1,1,3.0,2.0,False
F0GBR05SC4,NN (L) European High Div P Cap EUR,EUR,52.8.LU0205350837,NN (L) European High Dividend - P Cap EUR,477.22,3,2,,Europe Equity Income,0.0,0.66,1.07,4.22,7.98,18.63,16.67,29.09,5.06,6.29,5.38,3.0,1.79,0.0,0.56,,,16.5,,192630647.0,2,48072.33447,3,-0.89,1.0,94.22,16.79,0.28,1,1,1,1,1,1,3,1,3,3.0,2.0,False
F00000J84S,AS SICAV I Eurp Eq Div A Acc EUR,EUR,52.8.LU0505661966,Aberdeen Standard SICAV I - European Equity Dividend Fund A Acc EUR,244.8395,3,2,,Europe Equity Income,0.0,0.67,1.14,3.26,6.17,13.96,10.85,17.6,6.16,5.95,5.52,5.0,1.7,0.0,0.02,,,18.0,,28789576.0,2,35077.429860000004,2,1.06,0.87,89.46,14.78,0.39,1,1,1,1,1,1,2,1,1,3.0,2.0,False
F00000J84V,AS SICAV I Eurp Eq Div I Acc EUR,EUR,52.8.LU0505783646,Aberdeen Standard SICAV I - European Equity Dividend Fund I Acc EUR,2702.8059999999996,4,2,,Europe Equity Income,0.0,0.67,1.16,3.33,6.38,14.41,11.24,18.53,7.0,6.79,6.31,0.0,0.91,0.0,0.02,,,18.0,,28789576.0,2,35077.429860000004,2,1.85,0.88,89.46,14.79,0.44,1,1,1,1,1,1,2,1,1,3.0,2.0,True
F00000ZSTR,NN (L) European Sust Eq R Cap EUR,EUR,52.8.LU1687285905,NN (L) European Sustainable Equity - R Cap EUR,370.21,5,3,,Europe Flex-Cap Equity,0.0,0.75,0.28,4.49,8.83,17.65,13.35,36.61,13.78,,,3.0,1.05,0.0,0.41,,,0.75,,474851253.0,3,30099.841460000003,2,7.53,0.84,83.12,14.96,0.89,1,1,1,1,1,1,3,1,3,3.0,2.0,False
F00000X14G,MS INVF Europe Opportunity A,EUR,52.8.LU1387591305,Morgan Stanley Investment Funds - Europe Opportunity Fund A,54.61,5,4,,Europe Flex-Cap Equity,0.0,0.57,1.47,9.07,9.95,18.67,14.32,57.42,21.59,16.52,,5.75,1.74,0.0,0.18,,,1.17,,1446090670.0,3,20445.32994,2,14.1,0.76,71.37,15.22,1.26,1,1,1,1,1,1,3,1,1,3.0,2.0,False
F00000VRC4,State Street Erp ESG Scrn Mg Vol EqP€Acc,EUR,52.8.LU0456116986,SSGA Luxembourg SICAV - State Street Europe ESG Screened Managed Volatility Equity Fund P EUR Acc,13.2027,3,3,,Europe Flex-Cap Equity,0.0,0.25,1.75,2.72,9.15,10.6,9.12,12.91,4.79,5.7,,0.0,1.04,0.0,0.19,,,1.33,,78071701.0,2,17599.15656,1,-0.02,0.62,75.05,11.11,0.34,1,1,1,1,1,1,3,1,3,3.0,2.0,False
F00000HH89,State Street Erp ESG Scrn Mg Vol EqI€Acc,EUR,52.8.LU0456116804,SSGA Luxembourg SICAV - State Street Europe ESG Screened Managed Volatility Equity Fund I EUR Acc,26.151999999999997,4,3,,Europe Flex-Cap Equity,0.0,0.25,1.76,2.77,9.31,10.93,9.4,13.59,5.42,6.33,8.54,0.0,0.45,0.0,0.19,,,1.33,,78071701.0,2,17599.15656,1,0.58,0.62,75.02,11.12,0.39,1,1,1,1,1,1,3,1,3,3.0,2.0,False
F00001457X,BNPP Sust Europe Mlt-Fac Eq Cl EUR C,EUR,52.8.LU1956135328,BNP Paribas Funds Sustainable Europe Multi-Factor Equity Classic EUR Accumulation,144.95,3,3,,Europe Flex-Cap Equity,0.0,0.15,0.94,2.41,9.41,17.86,16.83,26.88,5.19,,,3.0,1.47,0.0,0.58,,,1.75,,332763042.0,1,31028.64012,3,-2.81,1.06,94.97,16.28,0.28,1,1,1,1,1,1,3,1,3,3.0,2.0,True
F00000Q489,Montanaro European MidCap Instl EUR Acc,EUR,52.8.IE00BBT35895,Montanaro European MidCap Fund Institutional EUR Acc,3.1660000000000004,5,4,,Europe Flex-Cap Equity,0.0,1.31,2.13,8.76,11.71,18.8,14.34,33.98,12.53,13.06,,0.0,0.83,1.87,-0.24,,,2.25,,148464592.0,6,8670.32136,2,6.61,0.79,78.3,14.0,0.84,1,1,1,1,1,1,2,1,2,2.0,2.0,False
F0GBR04LW5,Templeton European Opps A(acc)EUR,EUR,52.8.LU0122612848,Templeton European Opportunities Fund A(acc)EUR,14.64,1,4,,Europe Flex-Cap Equity,0.0,0.48,0.9,5.17,6.16,14.11,10.91,22.82,-3.91,0.04,4.07,5.75,1.85,,0.53,,,3.5,,124168812.0,5,4380.21701,3,-11.81,1.16,88.46,18.81,-0.19,1,1,1,1,1,1,3,1,3,3.0,2.0,False
F0GBR0552S,Templeton European Opps I(acc)EUR,EUR,52.8.LU0195949390,Templeton European Opportunities Fund I(acc)EUR,30.08,2,4,,Europe Flex-Cap Equity,0.0,0.47,0.91,5.21,6.36,14.59,11.28,23.84,-3.07,0.91,4.97,0.0,0.97,,0.53,,,3.5,,124168812.0,5,4380.21701,3,-10.97,1.17,88.57,18.85,-0.14,1,1,1,1,1,1,3,1,3,3.0,2.0,False
F00000ZGCY,Berenberg European Focus Fund M,EUR,52.8.LU1637618239,Berenberg European Focus Fund M,179.88,5,3,,Europe Flex-Cap Equity,0.0,0.09,0.98,3.75,12.47,22.37,14.97,45.28,18.68,,,0.0,0.91,0.0,0.37,,,3.67,,935655665.0,3,12013.34527,3,11.04,0.95,81.18,17.09,1.04,1,1,1,1,1,1,3,1,3,3.0,2.0,False
F00000Y4KZ,Wellington Eurp Contrarian Val € DAccUnH,EUR,52.8.IE00BD6FV626,Wellington European Contrarian Value Fund EUR Class D Accumulating Unhedged,12.9121,1,2,,Europe Flex-Cap Equity,0.0,0.74,0.34,4.23,9.23,29.29,27.21,53.69,2.76,,,5.0,1.7,0.0,0.19,,,4.58,,8328663.0,1,11405.88668,5,-6.92,1.51,90.44,24.73,0.17,1,1,1,1,1,1,2,1,3,3.0,2.0,False
F00000Y4L0,Wellington Eurp Contrarian Val € NAccUnH,EUR,52.8.IE00BD6FTN59,Wellington European Contrarian Value Fund EUR Class N Accumulating Unhedged,13.3297,2,2,,Europe Flex-Cap Equity,0.0,0.74,0.35,4.3,9.42,29.74,27.6,54.76,3.48,,,0.0,1.0,0.0,0.19,,,4.58,,8328663.0,1,11405.88668,5,-6.23,1.51,90.45,24.75,0.2,1,1,1,1,1,1,2,1,3,3.0,2.0,False
F00000TEMI,GAM Star (Lux) - European Momentum D €,EUR,52.8.LU0999659757,GAM Star (Lux) - European Momentum D EUR Acc,187.1,3,3,,Europe Flex-Cap Equity,0.0,-0.21,0.13,3.48,12.5,20.51,16.09,39.6,6.87,8.81,,3.0,2.26,0.0,0.49,,,4.92,,15989065.97,2,9951.523159999999,3,-0.1,1.01,86.88,17.08,0.41,1,1,1,1,1,1,2,1,3,3.0,2.0,False
F0GBR04M9W,GAM Star (Lux) - European Momentum,EUR,52.8.LU0129523923,GAM Star (Lux) - European Momentum Acc,309.41,4,3,,Europe Flex-Cap Equity,0.0,-0.22,0.13,3.48,12.5,20.51,16.09,39.6,6.87,8.81,11.04,3.0,2.26,0.0,0.49,,,4.92,,15989065.97,2,9951.523159999999,3,-0.1,1.01,86.88,17.08,0.41,1,1,1,1,1,1,2,1,3,3.0,2.0,False
F0000000QC,Aviva Investors European Eq A EUR Acc,EUR,52.8.LU0274934750,Aviva Investors - European Equity Fund A EUR Acc,16.5766,3,3,,Europe Flex-Cap Equity,0.0,0.53,1.26,4.86,9.69,17.91,14.86,32.14,4.35,5.77,7.88,5.0,1.79,0.0,0.12,,,5.0,,84024422.0,2,25736.12852,3,-3.56,1.14,95.21,18.15,0.26,1,1,1,1,1,1,2,1,3,3.0,2.0,False
F00000T3EY,Schroder ISF European Value A Acc USD,USD,52.8.LU1046231152,Schroder International Selection Fund European Value A Accumulation USD,86.3278,1,1,,Europe Flex-Cap Equity,0.0,-0.57,-0.36,2.23,8.0,25.14,20.47,54.2,1.74,6.04,,5.0,1.85,0.0,0.49,,,5.17,,273523686.0,1,10366.00863,5,-8.57,1.44,87.6,23.82,0.09,1,1,1,1,1,1,2,1,3,3.0,2.0,False
F0GBR04HGZ,Schroder ISF European Value A Acc EUR,EUR,52.8.LU0161305163,Schroder International Selection Fund European Value A Accumulation EUR,68.8946,2,1,,Europe Flex-Cap Equity,0.0,-0.09,-0.04,2.57,6.47,25.01,22.02,44.39,0.81,4.5,5.75,5.0,1.85,0.0,0.49,,,5.17,,273523686.0,1,10366.00863,5,-8.55,1.45,87.54,23.95,0.09,1,1,1,1,1,1,2,1,3,3.0,2.0,False
F00000X6F9,VIA Smart-Equity Europe Private EUR Acc,EUR,52.8.LU1369529786,VIA AM SICAV - VIA Smart-Equity Europe Private EUR Acc,1457.16,3,4,,Europe Flex-Cap Equity,0.0,-0.14,0.56,2.74,10.81,21.3,17.9,31.9,7.24,7.92,,0.5,2.0,0.0,0.0,,,5.25,,194639065.0,2,17716.13693,3,-0.37,1.06,94.11,17.05,0.42,1,1,1,2,1,1,3,3,1,3.0,2.0,False
F00000WPQ8,Magallanes V.I. UCITS European Eq I EUR,EUR,52.8.LU1330191385,Magallanes Value Investors UCITS European Equity I EUR,158.84727,3,1,,Europe Flex-Cap Equity,0.0,-0.17,-0.26,1.08,10.24,25.94,24.74,52.14,5.53,9.8,,0.0,1.5,0.0,0.11,,,5.5,,363904970.0,4,5419.5968299999995,4,-3.27,1.3,88.56,21.32,0.29,1,1,1,1,1,1,3,1,3,3.0,2.0,False
F00000WPQ9,Magallanes V.I. UCITS European Eq P EUR,EUR,52.8.LU1330191625,Magallanes Value Investors UCITS European Equity P EUR,161.93956,4,1,,Europe Flex-Cap Equity,0.0,-0.17,-0.25,1.12,10.36,26.19,24.96,52.74,5.94,10.2,,0.0,1.1,0.0,0.11,,,5.5,,363904970.0,4,5419.5968299999995,4,-2.89,1.31,88.56,21.33,0.31,1,1,1,1,1,1,3,1,3,3.0,2.0,False
F00000VKPB,Baillie Gifford WW Pan-Euro B EUR Acc,EUR,52.8.IE00B9103N50,Baillie Gifford Worldwide Pan-European Fund Class B EUR Acc,26.5322,5,5,,Europe Flex-Cap Equity,0.0,0.46,0.91,6.06,6.77,14.91,10.09,44.48,15.7,14.22,,0.0,0.65,0.0,0.09,,,6.67,,152901896.0,3,15251.93536,3,8.52,0.95,68.72,18.2,0.83,1,1,1,1,1,1,2,1,3,3.0,2.0,False
F00000PBLO,DNCA Invest SRI Europe Gr I EUR,EUR,52.8.LU0870552998,DNCA Invest SRI Europe Growth Class I shares EUR,312.42,5,3,,Europe Flex-Cap Equity,0.0,0.14,2.11,4.19,13.24,19.24,17.04,32.76,13.88,13.09,,2.0,1.05,3.23,0.47,,,8.5,,1552091517.0,3,17438.50259,1,7.92,0.71,69.56,13.51,0.92,1,1,1,1,1,1,3,1,3,3.0,2.0,False
F000002O8F,Nordea 1 - European Sm&Mid Cp Eq BI EUR,EUR,52.8.LU0417818316,Nordea 1 - European Small and Mid Cap Equity Fund BI EUR,940.92,4,3,,Europe Flex-Cap Equity,0.0,1.11,1.09,5.41,8.33,20.29,15.42,35.94,8.19,10.85,10.22,0.0,1.05,0.0,0.14,,,9.25,,443517326.0,5,5206.21125,3,0.06,1.15,89.54,18.81,0.44,1,1,1,1,1,1,3,1,3,3.0,2.0,False
F00000YR7U,Schroder ISF Eurp Alp Foc E Acc EUR,EUR,52.8.LU1577467829,Schroder International Selection Fund European Alpha Focus E Accumulation EUR,229.3791,2,3,,Europe Flex-Cap Equity,0.0,1.57,2.18,7.59,8.35,16.07,10.47,37.88,3.94,,,1.0,0.55,0.0,0.29,,,10.25,,27033409.0,3,13043.003040000001,4,-4.38,1.22,80.82,20.82,0.21,1,1,1,1,1,1,2,1,3,3.0,2.0,False
F00000M84R,Schroder ISF Eurp Alp Foc A Acc EUR,EUR,52.8.LU0591897516,Schroder International Selection Fund European Alpha Focus A Accumulation EUR,194.396,3,3,,Europe Flex-Cap Equity,0.0,1.56,2.15,7.46,8.01,15.31,9.83,36.06,2.61,8.8,7.1,5.0,1.86,0.0,0.29,,,10.25,,27033409.0,3,13043.003040000001,4,-5.67,1.22,80.81,20.8,0.15,1,1,1,1,1,1,2,1,3,3.0,2.0,False
F00000MBWQ,Memnon European I EUR Acc,EUR,52.8.LU0578133935,Memnon Fund - Memnon European Fund I EUR Acc,275.34,4,2,,Europe Flex-Cap Equity,0.0,0.21,0.56,2.33,8.83,19.12,16.3,30.64,9.58,11.12,10.78,5.0,1.43,0.11,0.61,,,10.33,,779183248.0,2,19225.011319999998,3,1.56,1.04,89.83,16.97,0.53,1,1,1,1,1,1,3,1,3,3.0,2.0,False
F00000JVNA,LO Funds Europe High Conviction EUR RA,EUR,52.8.LU0357520724,Lombard Odier Funds - Europe High Conviction (EUR) RA,16.5001,4,5,,Europe Flex-Cap Equity,0.0,-0.11,1.09,1.51,8.69,15.64,13.28,23.56,8.32,8.41,9.95,3.0,2.66,1.5,0.03,,,10.67,,952319245.0,2,17198.88829,1,2.3,0.85,89.99,14.14,0.57,1,1,1,1,1,1,2,1,2,2.0,2.0,True
F00000PKH5,LO Funds Europe High Conviction EUR MA,EUR,52.8.LU0866420937,Lombard Odier Funds - Europe High Conviction (EUR) MA,18.445999999999998,5,5,,Europe Flex-Cap Equity,0.0,-0.11,1.12,1.63,9.09,16.49,14.02,25.29,9.66,9.74,11.02,5.0,1.18,2.18,0.03,,,10.67,,952319245.0,2,17198.88829,1,3.43,0.85,90.32,14.22,0.65,1,1,1,1,1,1,2,1,2,2.0,2.0,True
F0000000L0,Sparinvest SICAV European Value EUR R,EUR,52.8.LU0264920413,Sparinvest SICAV European Value EUR R,156.38,2,1,,Europe Flex-Cap Equity,0.0,0.03,-0.26,0.61,8.17,22.38,20.84,37.34,4.14,7.58,6.58,3.0,1.96,,0.13,,,11.33,,92763793.0,1,12368.57843,4,-4.57,1.26,94.48,19.94,0.23,1,1,1,1,1,1,3,1,3,3.0,2.0,False
