,Name,StarRatingM255,SustainabilityRank,CategoryName,Yield_M12,GBRReturnM3,GBRReturnM6,GBRReturnM0,GBRReturnM12,GBRReturnM36,GBRReturnM60,MaxFrontEndLoad,OngoingCostActual,TransactionFeeActual,ManagerTenure,FundTNAV,EquityStyleBox,AverageMarketCapital,MorningstarRiskM255,AlphaM36,BetaM36,R2M36,StandardDeviationM36,SharpeM36,ReturnProfilePreservation,ReturnProfileIncome,ReturnProfileHedging,TrackRecordExtension,P_E,P_B,P_Sales,P_CashFlow,Dividend_Yield_Percent,Long_term_earning_Percent,Historical_earning_Percent,Sales_growth_percent,Cashflow_growth_percent,Book_value_growth_percent,Equity_Holding,Other_Holding,Assets_in_top10_holdings_percent,Top3_sector_percent,Top5_sector_percent,giant_percent,large_percent,mid_percent,small_percent,micro_percent,Style,Style_5_Min,Style_5_Max,Yield,Yield_5_Min,Yield_5_Max,Momentum,Momentum_5_Min,Momentum_5_Max,Quality,Quality_5_Min,Quality_5_Max,Volatility,Volatility_5_Min,Volatility_5_Max,Liquidity,Liquidity_5_Min,Liquidity_5_Max,Size,Size_5_Min,Size_5_Max,Cat_Flex-Cap,Cat_Income,Cat_Large-Cap,Cat_Mid_Small-Cap,Cat_Miscellaneous
F00000271D,Aegon UK Smaller Companies GBP B Acc,2,2,Mid_Small-Cap,0.6228,14.75,21.48,15.07,36.42,8.43,12.24,0.0,0.78,0.0,15.0,284846983.0,9,1073.11033,3,1.46,0.8,78.22,21.53,0.48,2,3,3.0,0,26.13,3.24,2.54,21.26,0.72,13.67,6.41,-2.94,0.59,6.64,82.0,34,28.0,50.34,78.85,0.0,0.0,32.97,55.95,10.77,6.0,2.6,16.09,95.48,84.31,96.2,19.91,2.54,95.78,5.51,3.14,14.36,8.19,2.61,21.1,75.0,53.57,96.93,5.38,4.41,8.15,0,0,0,1,0
F00000MBOY,Allianz Global Metals and Mining IT EUR,3,3,Miscellaneous,0.0,8.63,21.96,21.43,47.4,7.96,14.07,2.0,0.96,0.14,7.67,826391587.0,1,17260.33074,4,4.55,1.12,84.3,24.6,0.43,3,1,3.0,0,10.81,1.66,1.43,6.42,2.32,11.8,14.14,-4.45,-4.46,1.63,41.0,50,42.0,100.0,100.0,22.4,43.16,29.34,3.85,0.0,73.39,44.42,95.6,36.51,6.05,91.49,5.23,2.04,100.0,7.06,6.84,91.81,10.61,1.0,28.81,10.17,4.78,36.27,40.29,30.9,48.35,0,0,0,0,1
F00000MJU1,Ardevora UK Equity B GBP Acc,4,3,Flex-Cap,0.0,6.3,5.71,1.54,1.55,1.75,7.89,0.0,0.64,0.15,10.33,60482976.0,5,7574.92351,1,0.84,0.45,35.53,12.19,0.17,2,3,2.0,0,21.11,3.16,1.69,13.7,1.2,10.69,-0.94,-4.64,12.18,-1.4,53.0,1,37.0,59.58,84.33,16.83,29.25,91.77,4.82,0.0,23.36,5.8,67.43,87.52,26.04,93.14,36.1,2.55,94.71,15.1,5.36,97.09,40.16,7.34,93.16,35.7,8.85,85.57,24.73,17.51,42.93,1,0,0,0,0
F00000MJTZ,Ardevora UK Equity C GBP Acc,4,3,Flex-Cap,0.0,6.16,5.45,1.32,1.04,1.07,7.74,0.0,1.14,0.15,10.33,60482976.0,5,7574.92351,1,0.23,0.45,35.51,12.2,0.12,2,3,2.0,0,21.11,3.16,1.69,13.7,1.2,10.69,-0.94,-4.64,12.18,-1.4,53.0,1,37.0,59.58,84.33,16.83,29.25,91.77,4.82,0.0,23.36,5.8,67.43,87.52,26.04,93.14,36.1,2.55,94.71,15.1,5.36,97.09,40.16,7.34,93.16,35.7,8.85,85.57,24.73,17.51,42.93,1,0,0,0,0
F000014XX1,Artemis Income C Acc,4,4,Income,3.37405,7.65,12.52,11.7,20.87,2.68,6.74,0.0,1.25,0.19,19.42,4852508869.0,1,12703.32563,2,0.59,1.05,96.22,17.33,0.2,3,1,3.0,1,13.02,1.56,1.01,9.45,3.17,7.33,-3.88,-3.52,-4.67,0.63,45.0,12,37.0,59.12,75.67,13.32,39.2,32.12,6.88,0.36,80.93,64.32,88.34,15.17,11.61,22.57,65.27,18.84,90.3,79.57,74.87,89.38,28.79,17.9,77.65,21.43,21.43,83.86,34.16,33.79,49.8,0,1,0,0,0
F000003U77,Artemis Income I Acc,5,4,Income,3.36636,7.77,12.77,11.91,21.41,3.32,7.46,0.0,0.79,0.19,19.42,4852508869.0,1,12703.32563,2,1.22,1.05,96.22,17.33,0.24,3,1,3.0,1,13.02,1.56,1.01,9.45,3.17,7.33,-3.88,-3.52,-4.67,0.63,45.0,12,37.0,59.12,75.67,13.32,39.2,32.12,6.88,0.36,80.93,64.32,88.34,15.17,11.61,22.57,65.27,18.84,90.3,79.57,74.87,89.38,28.79,17.9,77.65,21.43,21.43,83.86,34.16,33.79,49.8,0,1,0,0,0
F0GBR04FG6,Artemis Income R Acc,4,4,Income,3.3794199999999996,7.57,12.35,11.55,20.5,2.54,6.66,0.0,1.55,0.19,19.42,4852508869.0,1,12703.32563,2,0.47,1.05,96.22,17.32,0.19,3,1,3.0,0,13.02,1.56,1.01,9.45,3.17,7.33,-3.88,-3.52,-4.67,0.63,45.0,12,37.0,59.12,75.67,13.32,39.2,32.12,6.88,0.36,80.93,64.32,88.34,15.17,11.61,22.57,65.27,18.84,90.3,79.57,74.87,89.38,28.79,17.9,77.65,21.43,21.43,83.86,34.16,33.79,49.8,0,1,0,0,0
F0GBR06KDH,Artemis Instl Equity Income IN Acc,5,4,Income,3.08675,7.85,12.88,12.02,20.95,3.24,7.15,0.0,0.77,0.21,16.25,397895001.0,1,12799.98497,2,1.14,1.04,96.27,17.09,0.23,3,1,3.0,0,13.02,1.56,1.0,9.37,3.19,7.29,-3.76,-3.41,-4.46,0.63,45.0,11,37.0,58.98,75.46,13.21,39.13,31.76,6.72,0.35,81.52,64.44,88.44,14.48,11.38,23.57,65.56,20.12,90.63,79.92,75.24,89.45,28.96,18.52,79.4,21.08,21.08,83.75,34.2,34.2,51.17,0,1,0,0,0
F0GBR06KDN,Artemis Instl UK Special Sits IN Acc,3,2,Flex-Cap,1.37415,12.2,20.17,17.33,38.29,6.95,8.39,0.0,0.79,0.34,16.25,26931055.0,5,6335.882570000001,4,5.33,1.4,91.47,23.68,0.39,3,3,3.0,0,14.84,1.93,1.15,9.29,2.15,11.23,-8.72,-6.28,-3.9,0.13,42.0,6,37.0,62.23,83.98,8.59,27.06,35.55,18.46,0.0,59.03,43.89,91.12,44.77,24.48,64.63,23.47,14.59,98.17,71.86,32.82,79.52,13.06,5.17,44.56,20.03,14.38,89.98,23.9,20.35,26.55,1,0,0,0,0
F000014XWZ,Artemis SmartGARP UK Eq C Acc GBP,3,1,Flex-Cap,2.53185,12.54,25.11,22.74,36.09,5.25,9.1,0.0,1.31,0.76,10.92,304720381.0,1,12131.56598,4,3.29,1.39,90.28,23.66,0.3,3,3,3.0,1,8.42,1.13,0.9,6.63,2.91,7.75,-0.57,-5.62,0.74,-0.75,54.0,2,37.0,67.6,87.34,19.67,39.72,25.35,15.71,0.0,97.99,53.65,97.99,22.6,5.48,71.65,10.17,2.37,88.89,67.39,17.96,78.79,13.45,4.13,45.54,18.91,16.86,73.41,31.91,22.16,40.85,1,0,0,0,0
F00000O7HQ,Artemis SmartGARP UK Eq Fd I Acc GBP,4,1,Flex-Cap,2.8606700000000003,12.67,25.38,22.97,36.7,5.91,9.84,0.0,0.86,0.76,10.92,304720381.0,1,12131.56598,4,3.91,1.39,90.29,23.66,0.33,3,3,3.0,1,8.42,1.13,0.9,6.63,2.91,7.75,-0.57,-5.62,0.74,-0.75,54.0,2,37.0,67.6,87.34,19.67,39.72,25.35,15.71,0.0,97.99,53.65,97.99,22.6,5.48,71.65,10.17,2.37,88.89,67.39,17.96,78.79,13.45,4.13,45.54,18.91,16.86,73.41,31.91,22.16,40.85,1,0,0,0,0
F0GBR04C7X,Artemis SmartGARP UK Eq R Acc GBP,3,1,Flex-Cap,2.3092900000000003,12.45,24.91,22.57,35.68,5.11,9.02,0.0,1.61,0.76,10.92,304720381.0,1,12131.56598,4,3.16,1.39,90.29,23.65,0.29,3,3,3.0,0,8.42,1.13,0.9,6.63,2.91,7.75,-0.57,-5.62,0.74,-0.75,54.0,2,37.0,67.6,87.34,19.67,39.72,25.35,15.71,0.0,97.99,53.65,97.99,22.6,5.48,71.65,10.17,2.37,88.89,67.39,17.96,78.79,13.45,4.13,45.54,18.91,16.86,73.41,31.91,22.16,40.85,1,0,0,0,0
F000014XXB,Artemis UK Select C Acc GBP,3,3,Flex-Cap,0.49488000000000004,11.71,21.08,18.17,42.57,8.36,11.0,2.0,1.34,0.2,5.5,1269666743.0,4,5818.88644,5,6.92,1.57,88.88,26.96,0.42,3,3,3.0,1,13.99,1.67,0.97,11.34,1.58,8.96,-15.87,-6.64,7.54,-0.77,50.0,4,37.0,78.34,92.21,8.38,28.64,34.99,19.82,2.92,75.48,30.33,85.56,65.1,12.7,71.99,13.77,7.94,98.53,65.55,25.84,76.76,9.19,2.66,43.02,18.36,10.63,79.41,22.29,18.43,30.99,1,0,0,0,0
F00000NKOC,Artemis UK Select I Acc,4,3,Flex-Cap,0.8458600000000001,11.84,21.35,18.4,43.2,9.03,11.75,0.0,0.89,0.2,5.5,1269666743.0,4,5818.88644,5,7.55,1.57,88.89,26.96,0.44,3,3,3.0,1,13.99,1.67,0.97,11.34,1.58,8.96,-15.87,-6.64,7.54,-0.77,50.0,4,37.0,78.34,92.21,8.38,28.64,34.99,19.82,2.92,75.48,30.33,85.56,65.1,12.7,71.99,13.77,7.94,98.53,65.55,25.84,76.76,9.19,2.66,43.02,18.36,10.63,79.41,22.29,18.43,30.99,1,0,0,0,0
F0GBR04SCW,Artemis UK Select R Acc,3,3,Flex-Cap,0.32899,11.63,20.89,18.01,42.13,8.22,10.92,0.0,1.64,0.2,5.5,1269666743.0,4,5818.88644,5,6.79,1.57,88.89,26.95,0.41,3,3,3.0,0,13.99,1.67,0.97,11.34,1.58,8.96,-15.87,-6.64,7.54,-0.77,50.0,4,37.0,78.34,92.21,8.38,28.64,34.99,19.82,2.92,75.48,30.33,85.56,65.1,12.7,71.99,13.77,7.94,98.53,65.55,25.84,76.76,9.19,2.66,43.02,18.36,10.63,79.41,22.29,18.43,30.99,1,0,0,0,0
F000014XXD,Artemis UK Special Situations C Acc,2,2,Flex-Cap,0.97041,10.98,18.35,15.59,35.69,6.01,7.37,0.0,1.31,0.17,21.25,650270549.0,5,6284.21925,3,4.4,1.39,90.93,23.51,0.35,3,3,3.0,1,14.88,1.93,1.15,9.31,2.15,11.24,-8.66,-6.26,-4.07,0.14,42.0,7,35.0,62.39,84.05,8.69,27.14,35.97,18.89,0.0,58.46,44.16,91.41,45.57,24.86,66.65,23.55,14.99,98.72,70.9,31.84,79.65,13.07,5.24,41.86,20.21,14.57,90.83,23.97,18.9,26.12,1,0,0,0,0
F000003U7B,Artemis UK Special Situations I Acc,3,2,Flex-Cap,1.3399299999999998,11.1,18.61,15.81,36.3,6.67,8.1,0.0,0.86,0.17,21.25,650270549.0,5,6284.21925,3,5.03,1.39,90.94,23.51,0.38,3,3,3.0,1,14.88,1.93,1.15,9.31,2.15,11.24,-8.66,-6.26,-4.07,0.14,42.0,7,35.0,62.39,84.05,8.69,27.14,35.97,18.89,0.0,58.46,44.16,91.41,45.57,24.86,66.65,23.55,14.99,98.72,70.9,31.84,79.65,13.07,5.24,41.86,20.21,14.57,90.83,23.97,18.9,26.12,1,0,0,0,0
F0GBR04E9A,Artemis UK Special Situations R Acc,2,2,Flex-Cap,0.79462,10.89,18.16,15.44,35.28,5.87,7.29,0.0,1.61,0.17,21.25,650270549.0,5,6284.21925,3,4.27,1.38,90.94,23.5,0.34,3,3,3.0,0,14.88,1.93,1.15,9.31,2.15,11.24,-8.66,-6.26,-4.07,0.14,42.0,7,35.0,62.39,84.05,8.69,27.14,35.97,18.89,0.0,58.46,44.16,91.41,45.57,24.86,66.65,23.55,14.99,98.72,70.9,31.84,79.65,13.07,5.24,41.86,20.21,14.57,90.83,23.97,18.9,26.12,1,0,0,0,0
F00000UMAF,Ash Park Glbl Cnsmr Fran UCITS A EUR,2,2,Miscellaneous,0.0,10.5,13.32,11.67,17.71,7.97,4.12,4.85,1.63,0.28,6.67,37300897.0,2,18637.34953,2,-2.72,0.79,76.31,13.25,0.52,3,3,3.0,0,17.64,3.16,2.04,13.14,3.3,8.93,-5.12,2.4,11.18,8.4,22.0,13,62.0,100.0,100.0,25.92,41.27,30.8,0.0,0.0,67.87,55.46,71.37,11.94,11.94,61.69,92.16,41.8,93.12,76.46,71.13,89.8,80.97,36.55,95.74,87.56,72.73,94.81,42.93,42.41,61.58,0,0,0,0,1
F00000UMAI,Ash Park Glbl Cnsmr Fran UCITS A GBP,2,2,Miscellaneous,0.0,10.86,7.65,7.45,13.91,7.29,6.13,4.85,1.63,0.28,6.67,37300897.0,2,18637.34953,2,-2.75,0.79,76.28,13.25,0.52,3,3,3.0,0,17.64,3.16,2.04,13.14,3.3,8.93,-5.12,2.4,11.18,8.4,22.0,13,62.0,100.0,100.0,25.92,41.27,30.8,0.0,0.0,67.87,55.46,71.37,11.94,11.94,61.69,92.16,41.8,93.12,76.46,71.13,89.8,80.97,36.55,95.74,87.56,72.73,94.81,42.93,42.41,61.58,0,0,0,0,1
F00000UMAO,Ash Park Glbl Cnsmr Fran UCITS A USD,2,2,Miscellaneous,0.0,13.56,14.01,11.22,26.93,9.25,5.53,4.85,1.63,0.28,6.67,37300897.0,2,18637.34953,2,-2.76,0.78,75.62,13.29,0.51,3,3,3.0,0,17.64,3.16,2.04,13.14,3.3,8.93,-5.12,2.4,11.18,8.4,22.0,13,62.0,100.0,100.0,25.92,41.27,30.8,0.0,0.0,67.87,55.46,71.37,11.94,11.94,61.69,92.16,41.8,93.12,76.46,71.13,89.8,80.97,36.55,95.74,87.56,72.73,94.81,42.93,42.41,61.58,0,0,0,0,1
F0GBR06HVF,ASI (AAM) UK Smaller Companies A Acc,3,3,Mid_Small-Cap,0.0,16.09,19.08,14.27,35.7,9.98,14.26,0.0,1.34,0.0,2.92,115596607.0,9,1295.3635199999999,2,3.28,0.72,68.45,20.81,0.54,2,3,3.0,1,27.56,4.34,1.68,17.26,0.78,15.37,14.87,5.38,36.49,12.84,53.0,6,34.0,56.89,81.73,0.0,0.0,41.43,54.83,1.77,3.61,1.0,53.18,96.19,68.99,96.98,10.47,1.0,96.53,3.42,2.92,31.33,9.9,2.39,34.1,65.57,35.66,99.1,6.39,3.91,8.77,0,0,0,1,0
F00000P8DV,ASI (AAM) UK Smaller Companies I Acc,3,3,Mid_Small-Cap,0.15120999999999998,16.22,19.35,14.49,36.31,10.53,14.95,0.0,0.85,0.0,2.92,115596607.0,9,1295.3635199999999,2,3.79,0.72,68.47,20.8,0.57,2,3,3.0,1,27.56,4.34,1.68,17.26,0.78,15.37,14.87,5.38,36.49,12.84,53.0,6,34.0,56.89,81.73,0.0,0.0,41.43,54.83,1.77,3.61,1.0,53.18,96.19,68.99,96.98,10.47,1.0,96.53,3.42,2.92,31.33,9.9,2.39,34.1,65.57,35.66,99.1,6.39,3.91,8.77,0,0,0,1,0
F00000Y4J0,ASI (AAM) UK Smaller Companies K Acc,3,3,Mid_Small-Cap,0.21091999999999997,16.25,19.39,14.53,36.42,10.61,15.03,0.0,0.78,0.0,2.92,115596607.0,9,1295.3635199999999,2,3.86,0.72,68.46,20.8,0.57,2,3,3.0,0,27.56,4.34,1.68,17.26,0.78,15.37,14.87,5.38,36.49,12.84,53.0,6,34.0,56.89,81.73,0.0,0.0,41.43,54.83,1.77,3.61,1.0,53.18,96.19,68.99,96.98,10.47,1.0,96.53,3.42,2.92,31.33,9.9,2.39,34.1,65.57,35.66,99.1,6.39,3.91,8.77,0,0,0,1,0
F0GBR04RV2,ASI (AAM) UK Smaller Companies Z Acc,3,3,Mid_Small-Cap,0.71396,16.44,19.8,14.86,37.34,11.36,15.81,0.0,0.1,0.0,2.92,115596607.0,9,1295.3635199999999,2,4.54,0.72,68.47,20.81,0.6,2,3,3.0,0,27.56,4.34,1.68,17.26,0.78,15.37,14.87,5.38,36.49,12.84,53.0,6,34.0,56.89,81.73,0.0,0.0,41.43,54.83,1.77,3.61,1.0,53.18,96.19,68.99,96.98,10.47,1.0,96.53,3.42,2.92,31.33,9.9,2.39,34.1,65.57,35.66,99.1,6.39,3.91,8.77,0,0,0,1,0
F00000J5DM,ASI UK All Share Tracker A Acc,3,3,Large-Cap,2.3984900000000002,8.12,12.1,11.64,16.1,1.99,6.83,0.0,0.23,0.09,11.25,1692590829.0,2,22007.116159999998,3,-0.21,1.04,97.05,17.12,0.16,2,3,3.0,0,14.17,1.75,1.49,9.78,2.52,11.63,-8.11,-8.17,-0.04,-2.59,390.0,216,33.0,46.12,68.16,35.25,29.36,23.95,4.87,0.66,69.04,61.85,81.79,28.19,11.5,35.83,74.55,24.08,83.6,83.95,46.7,85.75,29.35,14.49,81.86,36.36,27.49,89.9,47.48,44.34,64.3,0,0,1,0,0
F00000NRQ7,ASI UK All Share Tracker B Acc,4,3,Large-Cap,2.4998,8.15,12.17,11.7,16.23,2.12,6.98,0.0,0.1,0.09,11.25,1692590829.0,2,22007.116159999998,3,-0.08,1.04,97.04,17.13,0.16,2,3,3.0,0,14.17,1.75,1.49,9.78,2.52,11.63,-8.11,-8.17,-0.04,-2.59,390.0,216,33.0,46.12,68.16,35.25,29.36,23.95,4.87,0.66,69.04,61.85,81.79,28.19,11.5,35.83,74.55,24.08,83.6,83.95,46.7,85.75,29.35,14.49,81.86,36.36,27.49,89.9,47.48,44.34,64.3,0,0,1,0,0
F00000OOVI,ASI UK All Share Tracker C Acc,3,3,Large-Cap,2.3931400000000003,8.11,12.1,11.64,16.08,1.99,6.82,0.0,0.23,0.09,11.25,1736565212.0,2,22007.116159999998,3,-0.21,1.04,97.05,17.12,0.16,2,3,3.0,1,14.17,1.75,1.49,9.78,2.52,11.63,-8.11,-8.17,-0.04,-2.59,390.0,216,33.0,46.12,68.16,35.25,29.36,23.95,4.87,0.66,69.04,61.85,81.79,28.19,11.5,35.83,74.55,24.08,83.6,83.95,46.7,85.75,29.35,14.49,81.86,36.36,27.49,89.9,47.48,44.34,64.3,0,0,1,0,0
F00000J5DN,ASI UK All Share Tracker K Acc,3,3,Large-Cap,2.4965200000000003,8.15,12.16,11.7,16.22,2.12,6.8,0.0,0.1,0.09,11.25,1692590829.0,2,22007.116159999998,3,-0.08,1.04,97.04,17.12,0.16,2,3,3.0,0,14.17,1.75,1.49,9.78,2.52,11.63,-8.11,-8.17,-0.04,-2.59,390.0,216,33.0,46.12,68.16,35.25,29.36,23.95,4.87,0.66,69.04,61.85,81.79,28.19,11.5,35.83,74.55,24.08,83.6,83.95,46.7,85.75,29.35,14.49,81.86,36.36,27.49,89.9,47.48,44.34,64.3,0,0,1,0,0
F00000P6YC,ASI UK All Share Tracker L Acc,3,3,Large-Cap,2.39315,8.11,12.1,11.64,16.08,1.99,6.84,0.0,0.25,0.09,11.25,1692590829.0,2,22007.116159999998,3,-0.21,1.04,97.05,17.12,0.16,2,3,3.0,0,14.17,1.75,1.49,9.78,2.52,11.63,-8.11,-8.17,-0.04,-2.59,390.0,216,33.0,46.12,68.16,35.25,29.36,23.95,4.87,0.66,69.04,61.85,81.79,28.19,11.5,35.83,74.55,24.08,83.6,83.95,46.7,85.75,29.35,14.49,81.86,36.36,27.49,89.9,47.48,44.34,64.3,0,0,1,0,0
