SecId,Name,StarRatingM255,SustainabilityRank,Yield_M12,GBRReturnW1,GBRReturnM1,GBRReturnM3,GBRReturnM6,GBRReturnM0,GBRReturnM12,GBRReturnM36,GBRReturnM60,MaxFrontEndLoad,OngoingCostActual,TransactionFeeActual,ManagerTenure,FundTNAV,EquityStyleBox,AverageMarketCapital,MorningstarRiskM255,AlphaM36,BetaM36,R2M36,StandardDeviationM36,SharpeM36,ReturnProfilePreservation,ReturnProfileIncome,ReturnProfileHedging,TrackRecordExtension,Cat_Flex-Cap,Cat_Income,Cat_Large-Cap,Cat_Mid_Small-Cap,Cat_Miscellaneous
F0GBR04LG2,AXAWF Fram Europe Opps A Cap EUR,3,3,0.0,1.21,5.37,9.4,18.81,16.86,30.01,6.42,7.36,5.5,1.77,0.31,17.08,388102521.0,2,44299.18474,3,-0.87,0.99,96.68,15.78,0.39,3,3,3.0,False,0,0,1,0,0
F00000RW5L,Seeyond Europe MinVol R/A EUR,3,4,0.0,1.28,2.39,9.18,11.97,10.85,13.33,3.77,5.07,4.0,1.85,0.28,7.58,647247261.0,2,23147.78073,1,-2.04,0.74,85.95,12.33,0.23,3,3,3.0,True,0,0,1,0,0
FOGBR05KM1,Fidelity Nordic A-Acc-SEK,2,2,0.0,-1.39,0.37,4.27,21.64,20.38,56.26,8.1,14.34,5.25,1.94,0.12,9.83,343472488.0,4,3308.59206,4,-7.36,1.09,84.46,23.84,0.41,3,3,3.0,False,0,0,0,1,0
F0GBR04RS3,Threadneedle European Ins Acc GBP,4,5,0.39242,0.76,4.63,9.09,11.77,10.61,26.66,10.65,12.33,0.0,1.05,0.7,7.0,879426023.0,2,38215.18693,3,2.03,1.0,95.88,15.74,0.71,3,3,3.0,False,0,0,0,0,1
FOGBR05U13,Fidelity European Lgr Coms A-Acc-EUR,3,2,0.0,1.27,3.23,6.15,15.41,13.03,23.28,3.44,6.47,5.25,1.91,0.16,1.92,621139876.0,1,32796.43283,4,-4.31,1.08,97.52,16.56,0.2,3,3,3.0,False,0,0,1,0,0
F0GBR04FKN,Aviva Investors UK Lstd Eq Hi Alp B £Acc,1,1,0.0,-0.3,0.77,9.07,23.33,23.75,38.21,1.63,5.96,5.0,2.03,0.77,3.33,132520720.0,1,9642.87757,5,0.87,1.74,87.84,30.03,0.19,2,1,3.0,False,0,0,1,0,0
F0GBR06W8Z,Digital Stars Europe ex-UK Acc,5,2,0.0,0.83,4.28,14.82,27.0,21.88,50.79,14.0,16.34,5.0,1.63,0.41,15.0,574081203.0,6,4348.59054,4,3.9,1.02,84.65,17.6,0.75,3,3,3.0,False,0,0,0,0,1
F0GBR04N92,Vanguard €z Stk Idx € Acc,4,3,0.0,1.18,5.28,9.21,19.59,17.15,36.03,7.79,10.37,0.0,0.12,0.03,19.67,1560079313.0,2,39493.3798,3,0.42,1.0,99.96,18.07,0.43,2,2,3.0,False,0,0,1,0,0
F0GBR04DZU,BNP Paribas Funds Euro Mid CapC C,2,5,0.0,0.65,3.0,7.68,13.51,10.2,23.46,3.95,5.96,3.0,1.97,0.15,3.75,29715899.0,2,10059.28489,3,-3.99,0.91,92.76,17.6,0.25,3,3,3.0,False,0,0,0,1,0
F00000VXJ4,Man GLG Eurp Mid-Cap Eq Alt IN € Acc,3,3,0.0,-0.83,-1.4,-0.41,0.57,1.12,0.5,-1.82,0.54,0.0,1.37,0.47,6.25,147202400.0,1,18927.73138,2,-2.22,0.15,38.63,6.55,-0.36,2,2,2.0,False,0,0,0,0,1
F0GBR04AGW,Schroder ISF Eurp Eq Yld A Acc EUR,3,2,0.0,0.02,2.84,7.11,24.0,21.95,36.66,1.17,5.79,5.0,1.86,0.2,5.17,79539483.0,1,17827.415559999998,4,-5.32,1.27,89.39,21.64,0.09,2,1,3.0,False,0,1,0,0,0
F00000W14P,VAM International Opportunities A USD,3,4,0.0,0.8,1.04,10.66,16.63,11.84,46.96,10.29,11.73,5.0,2.5,0.41,5.92,13198771.0,6,2623.30317,1,-0.54,0.89,93.83,16.41,0.51,3,3,3.0,False,0,0,0,1,0
F0GBR05ZSF,Janus HndrsnContinen Eurp A2 EUR Acc,4,3,0.0,0.85,2.6,9.23,18.01,16.45,28.91,10.79,9.95,5.0,1.64,0.22,11.33,1757742213.0,2,40734.83403,2,1.16,0.96,97.84,14.88,0.66,3,3,3.0,False,0,0,0,0,1
F00000NQA0,Rathbone Income I Acc,4,3,3.34761,0.47,1.39,9.92,15.06,14.53,19.66,3.13,5.48,0.0,0.78,0.04,21.42,843812626.0,1,16481.75188,2,0.65,1.02,92.94,17.14,0.2,3,1,3.0,True,0,1,0,0,0
F00000JUY7,Schroder European A GBP Acc,3,3,0.59328,0.77,5.74,9.74,11.52,10.11,25.19,5.38,10.86,0.0,1.66,0.56,15.08,1314565472.0,2,12947.60387,4,-4.62,1.16,93.64,18.51,0.33,2,3,3.0,True,0,0,0,0,1
F0GBR04HGZ,Schroder ISF European Value A Acc EUR,2,1,0.0,-0.04,2.57,6.47,25.01,22.02,44.39,0.81,4.5,5.0,1.85,0.49,5.17,273523686.0,1,10366.00863,5,-8.55,1.45,87.54,23.95,0.09,2,3,3.0,False,1,0,0,0,0
F00000QL4P,BMO European Smaller Coms R Acc EUR,3,3,0.0,0.15,4.44,12.17,25.16,18.34,48.59,11.04,8.93,0.0,1.58,0.68,10.75,12444099.0,6,2115.22537,3,2.61,0.95,94.26,19.62,0.6,2,2,2.0,True,0,0,0,1,0
F00000O7HQ,Artemis SmartGARP UK Eq Fd I Acc GBP,4,1,2.8606700000000003,-0.11,0.85,12.67,25.38,22.97,36.7,5.91,9.84,0.0,0.86,0.76,10.92,304720381.0,1,12131.56598,4,3.91,1.39,90.29,23.66,0.33,3,3,3.0,True,1,0,0,0,0
F0GBR04G9X,Fidelity Instl UK Acc,3,3,2.36681,0.33,0.71,9.87,14.17,12.21,19.3,3.09,5.93,0.0,0.89,0.22,8.08,164547788.0,1,15992.9177,3,0.93,1.02,95.94,16.84,0.22,3,3,3.0,False,0,0,1,0,0
F00000OO88,M&G Pan European Select GBP I Acc,5,4,0.77681,1.4,5.03,12.03,15.07,13.32,33.11,8.52,12.38,0.0,0.69,0.04,6.92,154767340.0,3,19545.30158,4,1.4,1.08,93.57,16.97,0.53,3,3,3.0,True,0,0,1,0,0
F00000O55W,Amundi Fds Eurp Equity Cnsv I EUR C,4,4,0.0,1.47,4.99,9.73,14.92,12.51,22.85,6.95,7.65,2.5,0.61,0.2,9.17,720341944.0,2,22525.8684,1,0.68,0.78,94.24,12.41,0.47,3,3,3.0,True,0,0,1,0,0
F0000000L0,Sparinvest SICAV European Value EUR R,2,1,0.0,-0.26,0.61,8.17,22.38,20.84,37.34,4.14,7.58,3.0,1.96,0.13,11.33,92763793.0,1,12368.57843,4,-4.57,1.26,94.48,19.94,0.23,3,3,3.0,False,1,0,0,0,0
F0GBR04S9B,M&G European Index Tracker GBP A Acc,3,3,1.63683,1.59,5.63,9.88,11.39,10.05,25.03,8.6,12.09,0.0,0.5,-0.01,17.92,92155148.0,2,36389.6004,3,-0.72,1.04,98.49,16.02,0.54,3,3,3.0,False,0,0,0,0,1
F00000V95O,AXAWF Fram Human Capital A Cap CHF,2,3,0.0,0.13,4.32,5.09,16.46,11.61,36.19,1.03,5.64,5.5,2.03,0.25,13.67,168417505.0,6,5022.72119,3,-4.22,1.08,90.85,17.7,0.2,3,3,3.0,False,1,0,0,0,0
F0GBR04EZ8,Schroder ISF European Lrg Cap A1 Acc EUR,2,2,0.0,0.59,5.92,7.23,16.53,13.03,28.68,5.04,6.54,4.0,2.34,0.52,6.42,421573883.0,2,22131.89148,4,-2.83,1.05,93.89,16.6,0.28,2,3,3.0,True,0,0,1,0,0
F00000U3S4,Allianz Europe Conviction Eq WT EUR,4,3,0.0,1.19,4.51,7.78,21.39,17.81,31.15,9.68,9.39,0.0,0.67,0.05,4.5,169649322.0,1,29315.07008,4,1.23,1.1,96.06,17.11,0.53,3,1,3.0,False,0,0,1,0,0
F00000SJYC,Quilter Inv UK Eq Lrg-Cp Val U2 GBP Acc,4,4,3.17156,0.06,0.32,9.08,12.09,11.94,16.29,4.3,6.19,5.0,0.74,0.05,8.17,19498810.0,1,27553.99702,2,1.94,1.06,91.83,17.96,0.27,2,3,3.0,True,0,1,0,0,0
F00000UG3L,Heptagon European Focus Eq CE EUR Acc,5,5,0.0,2.41,5.77,13.73,19.09,14.0,25.31,16.8,12.74,3.0,1.19,0.19,6.83,61444880.0,3,37355.32051000001,1,5.86,0.81,82.9,12.72,1.15,2,2,2.0,False,0,0,1,0,0
F0GBR05ADV,Merian European Equity B USD Acc,1,2,0.0,1.06,4.97,12.26,25.67,19.67,45.75,7.07,6.44,0.0,3.07,0.38,2.17,44949399.0,2,15457.55096,4,-2.22,1.1,95.54,17.11,0.33,2,2,3.0,False,0,0,1,0,0
F000000I19,T. Rowe Price Cont Eurp Eq I EUR,4,4,0.0,1.43,5.63,9.56,17.92,14.65,31.59,12.55,11.78,0.0,0.75,0.39,12.08,99271917.0,3,18420.039630000007,2,3.22,0.92,96.7,14.44,0.79,3,3,3.0,False,0,0,0,0,1
F000005NTS,BNP Paribas Euro Defensive Equity C C,1,5,0.0,0.76,2.88,8.49,15.8,14.94,26.58,3.55,5.41,3.0,1.57,0.42,4.92,104007178.0,1,30527.95645,1,-6.62,0.89,83.59,12.11,0.24,3,3,3.0,False,0,0,1,0,0
F00000J5DM,ASI UK All Share Tracker A Acc,3,3,2.39849,0.03,0.12,8.12,12.1,11.64,16.1,1.99,6.83,0.0,0.23,0.09,11.25,1692590829.0,2,22007.11616,3,-0.21,1.04,97.05,17.12,0.16,2,3,3.0,False,0,0,1,0,0
F0GBR04AUS,DNCA Europe Smaller Coms I/A EUR,4,4,0.0,0.76,3.94,12.1,22.32,16.28,41.25,10.04,11.26,4.0,1.21,-0.07,13.0,144421305.0,6,3452.18769,3,1.23,0.95,94.9,18.3,0.55,3,3,3.0,False,0,0,0,1,0
F00000WYQ6,Omnis Income \u0026 Growth A Acc,1,3,1.84215,0.5,1.28,11.84,18.4,18.48,25.5,-10.4,-5.06,0.0,0.92,0.23,1.92,479410161.0,1,12517.80713,3,-12.71,1.14,75.39,21.23,-0.45,2,2,2.0,False,1,0,0,0,0
F000002MYQ,Allianz European Equity Div AT EUR,3,3,0.0,0.43,2.45,5.75,15.47,12.91,20.77,0.22,3.38,5.0,1.83,0.11,12.25,1702288950.0,1,34009.11787,3,-5.43,1.04,94.73,16.82,0.02,3,1,3.0,False,0,1,0,0,0
F00000SVGQ,Invesco UK Opports (UK) Y (Acc),3,1,1.95509,-0.23,1.18,10.37,17.57,17.04,28.92,2.55,7.34,5.0,0.86,0.28,13.0,827376499.0,1,16017.534269999998,4,0.62,1.17,91.67,19.78,0.19,3,3,3.0,False,0,0,1,0,0
F00000PXHF,BNP Paribas Euro Equity I C,5,5,0.0,0.55,2.06,8.78,14.66,13.71,26.18,7.02,9.63,0.0,0.96,0.09,8.08,1411333211.0,2,53074.75457,2,0.88,0.84,97.4,15.43,0.45,3,3,3.0,True,0,0,1,0,0
F00000OJM3,iShares 100 UK Equity Index (UK) A Acc,3,2,2.28276,0.0,-0.23,7.56,10.62,11.05,12.52,0.77,6.02,5.0,0.51,0.24,5.25,1849189145.0,1,35361.45911,3,-1.5,1.01,96.68,16.57,0.08,3,1,3.0,False,0,0,1,0,0
F000010ZZS,DWS Invest CROCI Euro LC,4,3,0.0,1.74,4.88,11.4,16.4,13.5,20.11,4.43,9.45,2.0,1.06,0.24,2.0,551690969.0,1,27753.81316,4,-2.9,1.01,88.59,19.29,0.24,3,3,3.0,True,0,0,1,0,0
F0GBR04MNH,Schroder UK Alpha Plus Acc,3,5,1.51777,0.0,-1.69,7.31,11.34,10.16,22.31,3.88,6.7,0.0,1.65,0.4,3.25,572934717.0,2,13063.78166,4,1.74,1.18,94.1,19.76,0.25,2,3,3.0,False,0,0,1,0,0
F0GBR06IWJ,Invesco UK Enhanced Index UK(NoTrail)Acc,3,3,2.78836,-0.02,-0.58,8.18,13.26,12.77,15.73,0.82,6.76,5.0,0.25,0.33,28.33,638313506.0,1,22826.459430000006,3,-1.24,1.07,97.1,17.6,0.1,3,3,3.0,False,0,0,1,0,0
F0GBR04Z15,Aviva Investors UK Lstd Eq Hi Alp2GBPAcc,2,1,0.7986,-0.06,0.36,8.96,24.57,23.64,41.06,2.57,7.06,0.0,0.73,0.67,3.33,215840309.0,1,9404.74048,5,2.0,1.77,85.52,30.94,0.22,2,2,3.0,False,0,0,1,0,0
F0GBR04VE4,Macquarie Valueinvest LUX Global A Cap,3,3,0.0,0.93,1.77,5.97,11.0,11.06,13.46,8.57,6.79,5.0,1.8,0.11,19.5,518603329.0,1,29837.40862,1,0.45,0.62,80.19,10.35,0.69,2,2,2.0,False,0,0,1,0,0
F0GBR04SKN,SVM Continental Europe A,3,3,0.0,0.62,3.7,6.17,13.89,7.37,52.8,14.57,15.22,5.25,1.96,0.56,15.42,26535831.0,5,3642.59464,3,5.26,0.92,85.93,19.48,0.79,2,3,3.0,False,0,0,0,1,0
F0GBR04F8W,Carmignac L-S Eurp Eqs A EUR Acc,3,5,0.0,0.7,0.92,3.06,6.18,3.84,10.73,2.82,6.71,4.0,2.92,0.18,6.25,290106001.0,3,17663.36985,3,2.0,0.15,10.72,9.25,0.21,3,3,3.0,False,0,0,0,0,1
F00000LI6K,AXAWF Fram Eurozone RI F Cap EUR,5,5,0.0,1.4,5.21,9.44,19.47,17.28,34.98,9.74,11.53,2.0,1.02,0.09,10.58,277376382.0,2,50022.58851,2,2.82,0.9,97.9,16.43,0.57,3,3,3.0,False,0,0,1,0,0
F00000W8QW,Man GLG RI European Equity Ldrs D C EUR,3,3,0.0,0.51,1.33,6.75,13.64,11.11,26.26,4.98,6.87,0.0,1.71,0.64,22.33,251274405.0,2,34779.37025,2,-1.47,0.96,94.5,14.93,0.35,2,2,2.0,False,0,0,1,0,0
F0GBR04OC1,Halifax Smaller Coms C,1,2,0.09743,-1.05,2.56,14.56,22.63,18.46,31.94,2.74,9.86,0.0,0.34,0.31,30.67,158059516.0,8,723.10137,4,-5.0,0.98,86.38,25.2,0.23,2,2,2.0,False,0,0,0,1,0
F00000MTB9,AXA Framlington UK Mid Cap R GBP Acc,4,3,0.0,0.09,3.2,12.37,18.83,12.93,25.18,7.21,9.34,5.25,1.59,0.29,10.25,544099137.0,6,1981.83354,1,3.22,0.85,91.99,19.48,0.44,2,3,3.0,False,0,0,0,1,0
F00000J84V,AS SICAV I Eurp Eq Div I Acc EUR,4,2,0.0,1.16,3.33,6.38,14.41,11.24,18.53,7.0,6.79,0.0,0.91,0.02,18.0,28789576.0,2,35077.429860000004,2,1.85,0.88,89.46,14.79,0.44,2,1,3.0,True,0,1,0,0,0
F00000SFYK,Rathbone Income S Acc,3,3,3.33632,0.47,1.41,9.99,15.21,14.65,19.97,3.4,5.75,0.0,0.52,0.04,21.42,843812626.0,1,16481.75188,2,0.9,1.02,92.94,17.14,0.22,3,1,3.0,False,0,1,0,0,0
F0GBR06HSH,SVM UK Growth Instl,4,3,0.0,-0.25,0.53,11.8,14.92,7.23,27.97,5.55,9.11,0.0,0.93,0.02,15.67,191523486.0,6,2670.15829,4,4.53,1.17,71.85,22.34,0.35,2,3,3.0,False,1,0,0,0,0
F00000X14G,MS INVF Europe Opportunity A,5,4,0.0,1.47,9.07,9.95,18.67,14.32,57.42,21.59,16.52,5.75,1.74,0.18,1.17,1446090670.0,3,20445.32994,2,14.1,0.76,71.37,15.22,1.26,3,1,3.0,False,1,0,0,0,0
F00000OOB2,HSBC European Index Accumulation C,3,3,1.91453,1.61,5.61,10.47,11.57,10.64,25.92,9.53,12.99,0.0,0.06,0.08,5.92,2713439058.0,2,37571.00648,3,-0.02,1.06,98.24,16.3,0.59,2,3,3.0,True,0,0,0,0,1
F0GBR06P0W,Threadneedle UK Mid 250 Ins Acc GBP,3,4,0.18988,0.48,0.97,12.14,18.06,13.08,33.0,5.83,8.85,0.0,1.09,0.66,7.5,71775187.0,9,1717.9447100000002,3,1.43,0.96,90.4,22.23,0.34,3,3,3.0,False,0,0,0,1,0
F0GBR06LJ5,Schroder ISF Eurp Spec Sits A Acc EUR,3,3,0.0,1.53,7.15,8.32,16.24,11.53,33.33,9.93,10.93,5.0,1.84,0.19,15.25,624724385.0,3,16566.3373,4,-3.71,1.16,88.04,15.95,0.58,2,3,3.0,False,0,0,1,0,0
F000001FSF,AXAWF Fram Human Capital A Cap EUR,3,3,0.0,0.65,5.16,6.89,15.4,10.91,33.74,3.27,5.62,5.5,2.03,0.25,13.67,168090659.0,6,5022.72119,3,-4.22,1.08,90.86,17.7,0.2,3,3,3.0,False,1,0,0,0,0
F0GBR052JL,Schroder ISF Italian Equity I Acc EUR,5,2,0.0,0.43,8.34,10.82,23.4,18.71,49.74,8.85,11.07,0.0,0.03,0.31,6.33,157891272.0,2,9769.67196,3,0.96,0.96,95.75,21.74,0.44,2,3,3.0,True,0,0,0,0,1
F00000SJXL,Quilter Inv Eurp (ex UK) Eq U2 (GBP) Acc,4,3,0.6695,1.61,5.28,10.11,12.82,12.13,28.75,11.13,13.22,5.0,0.75,0.09,8.25,348340973.0,2,36822.31751,2,1.76,1.03,95.73,16.01,0.69,2,3,3.0,True,0,0,0,0,1
F000003U7T,ES R\u0026M UK Equity High Alpha Fund B Acc,4,2,1.03663,0.13,0.72,8.8,22.51,20.51,37.14,5.14,10.73,5.25,0.9,0.37,14.58,100325193.0,4,4511.8264100000015,4,3.31,1.41,92.01,23.71,0.3,2,2,2.0,True,1,0,0,0,0
F0000043SB,Allianz Europe Small Cap Equity AT EUR,2,3,0.0,0.79,3.08,4.83,18.35,12.16,36.79,6.38,8.86,5.0,2.1,0.04,5.17,488283424.0,6,3828.79047,3,-2.56,1.05,94.36,21.31,0.36,3,1,3.0,True,0,0,0,1,0
F0GBR04RVX,ASI UK Growth Equity I Acc,2,1,1.78762,0.14,-0.21,6.52,12.65,12.27,14.87,0.07,5.53,0.0,0.85,0.21,3.17,104433790.0,2,16401.56092,5,-1.79,1.11,93.13,18.66,0.07,2,3,3.0,True,0,0,1,0,0
F000002K4L,Premier Miton Optimum Inc A acc,1,2,6.43311,0.21,-0.68,8.61,11.15,11.15,11.59,-3.09,1.48,4.0,1.82,0.54,3.67,63540371.0,1,21588.58164,5,-4.48,1.27,79.19,23.01,-0.04,3,1,3.0,False,0,1,0,0,0
F00000PWXI,Fidelity Italy A-Acc-EUR,2,2,0.0,1.23,7.56,9.71,25.66,23.09,46.91,6.4,8.01,5.25,1.93,0.58,3.25,257605797.0,5,7240.95825,2,-1.06,0.93,96.08,21.0,0.34,3,3,3.0,False,0,0,0,0,1
F0GBR04FIF,BMO UK Equity Income 1 Acc,3,2,3.1893,0.06,0.4,9.44,12.87,11.23,16.06,1.44,5.69,5.0,1.89,0.41,4.25,48592743.0,1,17146.97729,4,-0.58,1.21,91.46,20.51,0.13,2,1,2.0,False,0,1,0,0,0
F0GBR04VDH,Russell Inv Continental Eurp Eq A,3,2,0.92915,0.65,2.72,10.27,20.78,18.07,35.94,8.4,9.96,0.0,0.9,0.2,2.25,362771719.0,2,18513.89664,4,-2.29,1.12,98.02,17.31,0.46,2,2,2.0,False,0,0,0,0,1
F000000NT5,MainFirst Top European Ideas A,4,2,0.0,-1.33,0.37,6.37,18.31,11.74,40.38,6.01,11.19,5.0,1.72,-0.33,13.92,1064854260.0,5,2040.64493,5,-2.09,1.39,89.97,23.12,0.36,3,3,3.0,False,1,0,0,0,0
F0GBR04RLZ,Aegon Ethical Equity GBP A Acc,3,5,0.59882,0.18,1.39,10.51,15.26,10.26,21.74,4.71,6.16,2.5,1.53,0.01,22.42,589077276.0,6,4012.90468,3,3.21,1.04,79.78,18.77,0.32,2,3,3.0,False,1,0,0,0,0
F00000VTC9,Jupiter European Z Acc,4,5,0.22314,3.66,6.95,9.97,7.13,6.86,15.9,8.63,14.8,0.0,0.89,0.03,1.67,4303970576.0,3,22252.30111,1,2.03,0.76,76.86,13.99,0.62,3,3,3.0,False,0,0,0,0,1
