SecId,Name,StarRatingM255,SustainabilityRank,Yield_M12,GBRReturnW1,GBRReturnM1,GBRReturnM3,GBRReturnM6,GBRReturnM0,GBRReturnM12,GBRReturnM36,MaxFrontEndLoad,OngoingCostActual,TransactionFeeActual,ManagerTenure,FundTNAV,AverageMarketCapital,MorningstarRiskM255,AlphaM36,BetaM36,R2M36,StandardDeviationM36,SharpeM36,ReturnProfilePreservation,ReturnProfileIncome,ReturnProfileHedging,TrackRecordExtension,Cat_Flex-Cap,Cat_Income,Cat_Large-Cap,Cat_Mid_Small-Cap,Cat_Miscellaneous,Size,Style
F00000VUCI,Janus Henderson Hrzn Pan Eurp Eq H2 HUSD,5,3,0.0,1.99,6.59,6.75,18.38,13.81,32.37,12.79,5.0,1.09,0.38,4.5,588367610.0,19461.357669999998,3,3.64,0.91,84.84,14.63,0.67,3,3,3.0,0,0,0,1,0,0,1,2
F00000SFYK,Rathbone Income S Acc,3,3,3.3363199999999997,0.47,1.41,9.99,15.21,14.65,19.97,3.4,0.0,0.52,0.04,21.42,843812626.0,16481.75188,2,0.9,1.02,92.94,17.14,0.22,3,1,3.0,0,0,1,0,0,0,1,1
F00000ZC4G,Eleva UCITS Eleva Euroland Sel I EUR acc,4,3,0.0,1.06,2.45,8.13,16.74,14.63,33.79,8.75,3.0,1.01,0.65,3.92,874457566.0,16798.27246,4,1.54,0.98,94.87,18.2,0.48,3,2,2.0,0,0,0,1,0,0,1,2
F00000X3SE,ASI UK Equity Enhanced Index B Acc,3,3,2.5067,0.01,0.04,8.88,13.14,12.51,17.14,1.11,0.0,0.21,0.46,5.25,466118020.0,19195.05668,3,-0.99,1.04,96.02,17.17,0.11,2,1,3.0,0,0,0,1,0,0,1,1
F000015ID4,Premier Miton Mly Inc A acc,1,2,2.8968,0.18,-0.81,8.59,10.23,10.37,7.89,-7.27,2.32,1.65,0.6,0.58,266097930.0,21209.051369999997,4,-9.06,1.26,82.75,22.44,-0.25,3,1,3.0,1,0,1,0,0,0,1,1
F00000V2WT,MFS Meridian European Research C1 USD,3,3,0.0,0.74,3.66,7.22,12.61,9.01,30.66,7.93,0.0,2.67,0.23,15.42,2400257298.0,26839.643119999997,1,0.57,0.84,95.11,13.14,0.48,3,3,3.0,0,0,0,1,0,0,1,2
F000010646,MGTS AFH DA UK Alpha I GBP Acc,2,3,2.30762,0.35,0.58,8.82,13.1,12.66,22.55,1.42,0.0,0.65,0.63,3.25,60414742.0,19578.48885,4,-0.77,1.19,94.78,19.75,0.13,2,1,2.0,0,0,0,1,0,0,1,1
F000002XX1,Aviva Investors UK Listed Eq Inc 3 £ Acc,5,3,3.2945300000000004,0.19,0.77,9.15,16.44,12.2,20.03,4.46,0.0,0.32,0.2,12.17,1147740903.0,7722.474179999997,3,2.37,1.2,93.37,20.03,0.28,2,1,3.0,0,0,1,0,0,0,2,1
F0000023NA,Lazard UK Omega A Acc,3,3,1.50581,0.34,0.51,8.76,12.83,12.44,22.14,1.21,0.0,1.05,0.81,16.25,279752099.0,19779.52692,4,-0.96,1.19,95.25,19.74,0.12,3,3,3.0,0,0,0,1,0,0,1,1
F00000ZZAS,Man GLG Eurp Alpha Inc Profl Acc C,2,3,1.8157900000000002,2.29,3.47,7.69,7.59,7.1,20.35,5.41,0.0,0.9,0.26,3.5,14512302.0,36634.498569999996,5,-4.95,1.21,93.52,19.26,0.33,2,1,2.0,0,0,0,0,0,1,1,2
F00000ZXQG,Guinness European Equity Income Y € Acc,3,3,0.0,0.3,1.41,10.34,21.27,18.12,31.43,10.29,2.32,0.99,0.23,0.75,6318557.0,19682.27954,4,-0.05,1.1,93.75,17.53,0.57,2,3,3.0,0,0,0,0,0,1,1,2
F00000JZ77,Fidelity European Div Y-Acc-EUR,5,3,0.0,0.9,2.49,5.89,15.67,13.4,22.2,7.24,0.0,1.1,0.46,3.08,95619830.0,28537.68292,2,1.68,0.9,95.04,14.84,0.44,3,1,3.0,0,0,1,0,0,0,1,2
F00000JWFV,iShares Continen Eurp Eq Idx (UK) A Acc,3,3,1.28508,1.63,5.75,10.04,11.37,10.23,25.41,8.9,5.0,0.52,0.0,5.25,4359751088.0,36646.02347,3,-0.68,1.06,98.4,16.48,0.55,3,1,3.0,0,0,0,0,0,1,1,2
F00000NJCV,Sycomore Sélection Responsable R,3,4,0.0,0.75,1.96,8.43,12.34,9.57,25.76,3.91,3.0,2.0,0.33,10.42,606157604.0,22916.4209,2,-2.13,0.85,89.8,16.79,0.24,2,2,2.0,0,1,0,0,0,0,1,2
F00000ZVG6,Uni-Global Equities Europe AA-EUR,3,5,0.0,0.73,2.73,8.31,11.38,10.65,11.76,2.27,4.0,1.72,-0.01,9.33,774518794.0,22915.395790000002,1,-3.15,0.74,88.05,11.73,0.14,3,3,3.0,1,0,0,1,0,0,1,2
F0GBR04G9X,Fidelity Instl UK Acc,3,3,2.3668099999999996,0.33,0.71,9.87,14.17,12.21,19.3,3.09,0.0,0.89,0.22,8.08,164547788.0,15992.9177,3,0.93,1.02,95.94,16.84,0.22,3,3,3.0,0,0,0,1,0,0,1,1
F00000210Z,Fidelity Fds EURO STOXX 50® Y-Acc-EUR,4,4,0.0,0.94,4.94,8.77,20.27,18.5,34.59,8.55,0.0,0.2,0.11,4.42,175388826.0,73479.17433,4,1.25,1.01,98.33,18.65,0.47,3,3,3.0,0,0,0,1,0,0,1,2
F00000XWYS,Threadneedle UK Equity Opps Ins Acc GBP,1,4,0.7993,0.45,0.48,7.07,14.92,13.88,19.96,-0.73,0.0,1.58,0.05,5.5,76302906.0,8724.3458,5,-2.83,1.31,91.43,22.22,0.04,3,3,3.0,0,0,0,1,0,0,2,1
F00000LYE7,Alken Absolute Return Europe A,2,3,0.0,-0.7,0.36,3.87,7.85,7.67,1.78,-4.6,3.0,2.77,0.67,10.42,127708626.2,6674.20618,4,-7.02,0.34,37.64,9.1,-0.61,3,3,3.0,0,0,0,0,0,1,2,2
F00001071O,BIEF UK Select Equity A GBP Acc,4,2,2.14293,0.11,-0.14,7.79,11.35,9.92,18.35,5.15,2.32,0.02,0.15,26.5,120389351.0,20591.59171,4,2.98,1.05,92.81,17.68,0.33,3,3,3.0,0,0,0,1,0,0,1,2
F00000VEYN,Ninety One UK Equity Income A Acc,4,4,1.08725,0.29,0.43,10.02,9.57,8.76,9.12,4.24,0.0,1.56,0.39,1.83,162259914.0,18647.474009999998,1,2.22,0.78,75.22,14.55,0.3,2,1,2.0,1,0,1,0,0,0,1,2
F00000YR7U,Schroder ISF Eurp Alp Foc E Acc EUR,2,3,0.0,2.18,7.59,8.35,16.07,10.47,37.88,3.94,1.0,0.55,0.29,10.25,27033409.0,13043.003040000001,4,-4.38,1.22,80.82,20.82,0.21,2,3,3.0,0,1,0,0,0,0,1,3
F00000V4X6,Mandarine Unique S&M Caps Europe B3 GBP,3,4,0.0,0.74,2.28,8.32,7.61,8.3,23.09,7.98,2.0,1.2,0.29,3.08,407052685.0,4618.638660000001,2,0.71,0.86,92.85,16.71,0.51,2,2,2.0,0,0,0,0,1,0,2,3
F0GBR04MXQ,JPM Europe Small Cap D (acc) EUR,2,3,0.0,0.28,4.89,9.29,26.63,17.2,52.37,5.89,5.0,2.77,0.91,22.58,641440110.0,2314.28931,4,-3.54,1.11,97.24,22.59,0.33,3,3,3.0,0,0,0,0,1,0,2,3
F0GBR06M5A,Man GLG Income Professional Acc C,4,2,4.24598,-0.07,-0.62,8.02,14.54,12.52,19.33,1.63,0.0,0.9,0.87,7.58,1780432513.0,8892.1822,5,-0.08,1.28,93.07,21.53,0.16,2,1,2.0,0,0,1,0,0,0,2,1
F000010UCN,Threadneedle (Lux) Pan Eurp SmlrComs 3G,4,3,0.0,0.46,1.34,6.94,9.68,6.49,28.05,10.61,3.0,0.91,0.11,2.83,1813186065.0,3898.6103399999997,3,3.14,0.92,90.86,18.06,0.64,3,3,3.0,1,0,0,0,1,0,2,3
F000000R6C,Invesco European Equity Inc UK (NoTr)Acc,3,3,1.78712,1.05,4.14,7.94,12.47,11.56,27.47,4.22,5.0,1.19,0.33,1.5,487527034.0,30663.82464,4,-5.89,1.19,94.97,18.52,0.28,3,1,3.0,0,0,0,0,0,1,1,1
F000005LRG,Lazard European Alpha B Acc,3,3,0.057970000000000015,1.0,4.97,9.49,9.09,7.58,22.6,6.4,3.75,1.58,0.21,13.25,86614744.0,30284.51892,3,-2.85,1.1,97.13,17.33,0.42,3,3,3.0,0,0,0,0,0,1,1,2
F00000XIB1,Man GLG Eurp Mid-Cap Eq Alt DN EUR,2,3,0.0,-0.83,-1.45,-0.59,0.19,0.79,-0.24,-2.54,0.0,2.12,0.47,6.25,147202400.0,18927.73138,1,-2.95,0.15,38.49,6.55,-0.47,2,2,2.0,0,0,0,0,0,1,1,1
F00000OYMI,iShares Europe Equity Index (LU) A2 EUR,3,3,0.0,1.38,5.0,9.08,18.49,15.65,29.81,7.48,5.0,0.57,0.1,0.75,210349052.0,40419.8675,3,-0.69,1.06,98.54,16.26,0.42,3,1,3.0,0,0,0,1,0,0,1,2
F00000SJXX,DNB Fund Nordic Equities institutional A,5,2,0.0,1.36,2.78,2.75,15.44,6.42,33.67,17.49,0.0,0.77,0.27,2.67,140901496.0,9159.420470000001,3,2.75,1.0,85.5,16.16,1.0,3,3,3.0,0,0,0,0,0,1,1,3
F00000NBK6,Schroder European Sm Cos Z Acc,3,3,0.19964,1.48,7.37,11.02,17.42,13.03,45.62,6.71,0.0,0.94,0.31,9.58,168765959.0,2498.8551,4,-3.63,1.06,95.62,21.36,0.39,2,3,3.0,1,0,0,0,1,0,2,3
F00001024G,Baillie Gifford UK Equity Core B Acc,3,3,1.94251,-1.37,-1.79,7.46,12.39,9.4,19.78,3.57,0.0,0.44,0.01,3.42,251606990.0,8331.449279999999,3,1.73,1.14,92.09,19.13,0.25,2,3,3.0,0,1,0,0,0,0,2,2
F0GBR04SQV,Schroder ISF Eurp Smlr Coms A Acc EUR,2,3,0.0,0.19,6.67,9.01,20.35,15.43,50.95,3.58,5.0,1.85,0.74,18.75,107324564.0,2359.26582,4,-5.74,1.1,95.6,22.63,0.23,2,3,3.0,1,0,0,0,1,0,2,3
F0GBR06LR6,Janus Henderson Instl MainstrmUKEq I Acc,3,3,2.5006,0.2,0.3,8.06,11.02,11.26,12.04,1.34,0.0,0.54,0.07,1.08,185013574.0,20495.849619999997,3,-0.85,1.04,94.9,17.2,0.12,3,3,3.0,0,0,0,1,0,0,1,1
F00000QQTA,Jupiter UK Alpha Fund (IRL) L USD Acc,2,3,0.0,-0.26,1.99,10.81,22.98,17.06,35.83,4.2,5.0,1.95,0.01,7.5,51717570.0,14070.913830000001,5,0.27,1.23,93.62,20.55,0.18,2,2,3.0,0,0,0,1,0,0,1,1
F00000JVS5,GlobalAccess Eurp ex-UK Alpha A Acc EUR,3,3,0.29802,1.11,2.14,8.61,16.99,14.1,29.96,9.76,5.0,1.82,0.03,2.25,102130288.0,28493.655889999998,3,-0.1,1.05,98.4,16.38,0.58,2,3,2.0,0,0,0,0,0,1,1,2
F00000JUY7,Schroder European A GBP Acc,3,3,0.59328,0.77,5.74,9.74,11.52,10.11,25.19,5.38,0.0,1.66,0.56,15.08,1314565472.0,12947.60387,4,-4.62,1.16,93.64,18.51,0.33,2,3,3.0,1,0,0,0,0,1,1,2
F0GBR06IAX,Aviva Investors UK Index Tracking 3 £Acc,4,3,2.62066,0.25,0.03,7.12,11.46,11.93,16.57,2.13,0.0,0.2,0.1,4.0,813716326.0,22013.0966,2,-0.02,0.99,99.99,15.99,0.17,2,1,3.0,0,0,0,1,0,0,1,2
F0GBR04RUS,ASI Europe ex UK Equity A Acc,4,5,0.0,2.66,5.61,7.93,4.91,4.17,15.91,10.72,0.0,1.36,0.09,5.75,568597977.0,33106.19412,1,2.98,0.85,84.68,14.75,0.71,2,3,3.0,0,0,0,0,0,1,1,3
F00000N7ZW,Artemis European Opportunities I Acc,2,4,0.47276,1.4,4.63,9.98,9.34,8.64,19.69,4.89,0.0,0.87,0.89,9.67,112373514.0,20121.44539,3,-3.74,1.02,93.0,16.14,0.34,3,3,3.0,0,0,0,0,0,1,1,3
F0GBR04N99,Templeton Glb Climate Change A (acc) EUR,3,2,0.0,0.23,1.8,5.42,14.32,8.12,45.72,11.57,5.75,1.84,0.18,3.25,745604566.0,13335.8094,4,-1.81,1.09,89.54,16.85,0.66,3,3,3.0,0,0,0,0,0,1,1,2
F00000ZHS4,Robeco QI European Enhanced Index Eqs D$,3,3,0.0,1.06,2.41,11.61,18.6,15.83,35.73,7.34,5.0,0.72,0.03,3.75,2995272.0,37280.80021,3,-1.8,1.05,99.12,16.06,0.35,3,1,3.0,0,0,0,1,0,0,1,2
F0GBR06KDN,Artemis Instl UK Special Sits IN Acc,3,2,1.37415,0.26,1.07,12.2,20.17,17.33,38.29,6.95,0.0,0.79,0.34,16.25,26931055.0,6335.8825700000025,4,5.33,1.4,91.47,23.68,0.39,3,3,3.0,0,1,0,0,0,0,2,2
F00000QL4P,BMO European Smaller Coms R Acc EUR,3,3,0.0,0.15,4.44,12.17,25.16,18.34,48.59,11.04,0.0,1.58,0.68,10.75,12444099.0,2115.22537,3,2.61,0.95,94.26,19.62,0.6,2,2,2.0,1,0,0,0,1,0,2,3
F00000MSZ7,MFS Meridian Blnd Rsrch Eurp Eq A1 EUR,4,2,0.0,0.67,3.79,8.1,18.55,16.33,29.44,6.52,6.0,1.6,0.24,5.0,5541392.0,32632.1937,3,-0.79,1.02,97.77,15.78,0.4,3,3,3.0,0,0,0,1,0,0,1,2
F0GBR04KO2,MFS Meridian UK Equity A1 GBP,2,3,0.0,0.48,0.0,7.23,10.15,9.8,12.5,1.94,6.0,1.95,0.2,13.0,30733683.0,13127.046040000001,1,-0.14,0.93,95.52,15.33,0.16,3,3,3.0,1,0,0,1,0,0,1,2
F00000Y4L0,Wellington Eurp Contrarian Val € NAccUnH,2,2,0.0,0.35,4.3,9.42,29.74,27.6,54.76,3.48,0.0,1.0,0.19,4.58,8328663.0,11405.88668,5,-6.23,1.51,90.45,24.75,0.2,2,3,3.0,0,1,0,0,0,0,1,1
F0GBR04F7W,BGF European Special Situations A2,4,4,0.0,2.09,7.63,11.68,17.3,13.2,33.91,12.55,5.2632,1.82,0.2,0.25,1185509222.0,20589.30162,4,-0.97,1.11,94.48,15.05,0.76,3,1,3.0,0,0,0,1,0,0,1,3
F00000YQNK,Scottish Widows UK Select Gr P Acc,4,5,1.2877299999999998,0.98,-0.37,6.38,11.63,9.43,22.95,6.16,7.0,0.33,1.0,9.08,29715603.0,13921.464780000002,3,4.24,1.21,86.09,21.08,0.36,2,2,2.0,0,1,0,0,0,0,1,2
F0000000K4,Allianz Europe Equity Growth AT EUR,4,5,0.0,1.58,5.34,10.03,21.36,15.48,36.75,12.99,5.0,1.85,0.03,11.67,6691025571.0,28895.78967,5,-1.21,1.2,92.37,16.27,0.76,3,1,3.0,1,0,0,1,0,0,1,3
F00000MBWQ,Memnon European I EUR Acc,4,2,0.0,0.56,2.33,8.83,19.12,16.3,30.64,9.58,5.0,1.43,0.61,10.33,779183248.0,19225.011319999998,3,1.56,1.04,89.83,16.97,0.53,3,3,3.0,0,1,0,0,0,0,1,2
F00000LLTT,BGF European Equity Income A2,4,3,0.0,1.89,4.17,6.36,13.92,10.63,23.21,7.63,5.2632,1.83,0.54,10.5,1677133292.0,33564.921239999996,2,2.19,0.88,88.76,15.18,0.45,3,1,3.0,0,0,1,0,0,0,1,2
F00000W8QW,Man GLG RI European Equity Ldrs D C EUR,3,3,0.0,0.51,1.33,6.75,13.64,11.11,26.26,4.98,0.0,1.71,0.64,22.33,251274405.0,34779.37025,2,-1.47,0.96,94.5,14.93,0.35,2,2,2.0,0,0,0,1,0,0,1,2
F0GBR04SCQ,M&G European Select GBP A Acc,2,1,1.03441,0.77,3.77,10.15,13.56,13.41,25.56,4.55,0.0,1.18,0.07,1.92,145801737.0,20588.28146,4,-5.15,1.14,93.72,17.7,0.3,3,3,3.0,0,0,0,0,0,1,1,1
FOGBR05KLR,Fidelity European Dynamic Gr A-Acc-EUR,4,4,0.0,2.23,5.12,7.31,11.33,10.03,18.82,11.92,5.25,1.9,0.1,1.42,4378021173.0,21430.45207,3,-0.65,1.04,91.18,14.58,0.75,3,3,3.0,0,0,0,1,0,0,1,3
F00000NGBP,OneFamily Stockmarket 100 Trust IA,2,2,0.94242,0.78,-0.09,7.28,8.79,10.65,12.36,-0.68,0.0,1.5,0.04,2.75,277011575.0,35378.50094,1,-2.71,0.96,93.84,15.95,0.0,2,2,2.0,0,0,0,1,0,0,1,1
F000001A8A,DNCA Invest Value Europe I EUR,3,2,0.0,-0.39,-0.15,6.83,17.87,17.27,31.06,1.22,2.0,1.17,0.41,13.5,777274248.0,14349.68734,4,-1.36,1.05,96.1,20.95,0.08,3,3,3.0,0,0,0,1,0,0,1,1
F0GBR04FI9,MFM Bowland,4,2,0.45866999999999997,0.69,0.12,12.54,15.17,16.18,29.53,11.79,7.0,0.8,0.29,7.25,23884914.0,5114.553779999998,1,6.29,0.52,55.74,16.59,0.73,3,3,2.0,0,0,0,0,1,0,2,3
F00000M88P,Fidelity FAST UK A-ACC-GBP,5,5,0.0,0.37,0.55,8.95,11.32,9.02,16.73,5.62,5.25,2.0,0.47,10.25,25449466.0,12330.62416,2,3.47,0.84,82.21,15.01,0.38,3,3,3.0,0,0,0,1,0,0,1,2
F00000GXE7,BMO European Real Estate Scs B Acc EUR,5,4,0.0,2.74,6.11,15.83,9.97,8.91,20.75,6.65,5.0,1.35,0.53,11.17,49097101.0,4445.90724,2,1.66,0.8,87.87,16.41,0.35,2,1,2.0,0,0,0,0,0,1,2,2
F0GBR069TA,DWS Invest European Small Cap LC,3,3,0.0,0.43,2.79,8.32,28.75,19.62,55.23,11.18,5.0,1.66,0.28,12.17,101921068.0,3239.23577,5,0.58,1.24,95.96,23.37,0.53,3,3,3.0,0,0,0,0,1,0,2,2
F0GBR04FKN,Aviva Investors UK Lstd Eq Hi Alp B £Acc,1,1,0.0,-0.3,0.77,9.07,23.33,23.75,38.21,1.63,5.0,2.03,0.77,3.33,132520720.0,9642.87757,5,0.87,1.74,87.84,30.03,0.19,2,1,3.0,0,0,0,1,0,0,1,1
F0GBR05ZTQ,MFS Meridian Continen Eurp Eq A1 EUR,4,4,0.0,1.38,5.87,10.82,18.27,15.13,29.01,10.34,6.0,1.93,0.05,12.42,33643224.0,45381.26799,1,1.8,0.87,94.43,13.92,0.68,3,3,3.0,0,0,0,0,0,1,1,2
F0GBR05B96,Halifax UK FTSE 100 Idx Track B,2,2,1.9626400000000002,0.56,0.35,8.07,10.35,10.78,12.64,0.48,0.0,-0.01,0.01,13.0,1169710886.0,34137.87399,2,-2.21,0.98,97.6,16.07,0.03,2,2,2.0,0,0,0,1,0,0,1,2
F000000GR3,Sanlam Active UK A GBP,2,4,0.0,-0.04,-0.89,6.34,9.64,7.7,13.02,1.78,0.0,1.03,0.05,14.17,130826895.0,13469.27734,3,-0.16,1.11,89.16,19.02,0.15,2,3,3.0,0,1,0,0,0,0,1,2
F00000OSWI,Jupiter Responsible Inc I Acc,3,4,2.2829900000000003,-0.13,0.33,9.41,14.05,11.91,19.13,3.21,0.0,0.93,-0.01,0.33,47341487.0,13183.03121,2,1.22,1.02,92.63,17.21,0.23,3,1,3.0,1,0,1,0,0,0,1,1
F000000LLW,Ninety One GSF UK Alpha A Acc GBP,4,2,0.0,0.25,-0.55,6.33,9.23,8.58,10.01,1.85,5.0,1.9,0.24,6.42,354687537.0,17866.324780000006,1,0.03,0.91,93.8,15.26,0.17,2,1,2.0,1,0,0,1,0,0,1,2
F00000JNRB,CS (Lux) Sm and Md Cp Alpha L/S B EUR,4,4,0.0,0.55,1.14,0.53,1.27,-0.08,3.85,2.64,5.0,1.86,0.08,10.92,290772284.0,5009.55226,3,1.59,0.2,16.0,9.71,0.19,3,3,1.0,0,0,0,0,0,1,2,3
F00000MQF9,Templeton European Div A(acc)EUR,1,1,0.0,0.65,2.83,4.65,14.16,11.99,22.33,0.14,5.75,1.85,0.59,3.5,82196012.0,11603.422190000001,4,-5.74,1.13,92.45,19.21,0.04,3,1,3.0,0,0,1,0,0,0,1,2
F000003U7B,Artemis UK Special Situations I Acc,3,2,1.3399299999999998,0.21,0.63,11.1,18.61,15.81,36.3,6.67,0.0,0.86,0.17,21.25,650270549.0,6284.21925,3,5.03,1.39,90.94,23.51,0.38,3,3,3.0,1,1,0,0,0,0,2,2
F00000Q7VA,Kennox Strategic Value A Acc,1,2,2.16036,0.14,-0.41,5.18,8.46,9.92,7.18,-0.61,5.0,0.97,0.06,12.17,81807924.0,6828.60724,1,-9.72,0.83,85.2,11.96,-0.05,2,3,3.0,0,1,0,0,0,0,2,1
F00000OQRQ,Dominion Global Trends Lxy Cnsmr € B Acc,3,4,0.0,0.44,2.51,4.27,10.16,5.88,22.3,7.4,2.32,0.68,0.19,14.0,69938702.0,41704.389839999996,3,-3.23,0.89,68.8,14.98,0.51,2,2,2.0,1,0,0,0,0,1,1,3
F0GBR04EM8,BMO FTSE All-Share Tracker 1 Acc,3,3,2.39995,-0.04,0.04,7.95,11.89,11.43,15.88,1.85,5.0,0.46,0.05,1.42,394413688.0,21932.82915,3,-0.34,1.04,97.17,17.11,0.15,2,1,2.0,0,0,0,1,0,0,1,2
F0GBR04N2F,BNP Paribas Europe Dividend I C,3,4,0.0,0.62,1.88,7.41,14.57,13.56,17.65,4.26,0.0,0.96,0.22,2.0,164995045.0,50389.39812,2,-1.03,0.89,94.95,14.63,0.25,3,3,3.0,0,0,1,0,0,0,1,2
F00000YQNL,Scottish Widows UK Smlr Coms P,1,2,0.42138000000000003,0.97,4.01,15.76,24.38,19.97,37.82,3.96,7.0,0.33,0.56,19.25,60565573.0,751.16035,4,-4.69,0.96,86.78,24.78,0.24,2,2,2.0,0,0,0,0,1,0,3,2
F0GBR04OBD,Halifax European C,3,3,0.6234,1.47,5.66,10.69,12.43,11.93,25.63,7.45,0.0,0.28,0.35,34.0,366587238.0,36481.63442,3,-2.24,1.09,97.84,16.73,0.46,2,2,2.0,0,0,0,0,0,1,1,2
F00000MJPT,BlackRock UK Income D Acc,4,3,2.8096799999999997,-0.05,-0.32,7.47,9.48,8.59,14.02,3.33,0.0,0.88,0.82,11.58,473778989.0,21693.075119999998,2,1.06,0.98,94.27,16.28,0.23,3,1,3.0,1,0,1,0,0,0,1,2
F00000Y9WD,Amundi MSCI Eurp Clmt Trnstn CTB AE C,1,3,0.0,1.14,3.1,9.65,16.78,14.99,25.32,7.71,4.5,0.5,0.04,4.75,54038559.0,38706.24375,3,-5.26,1.04,91.62,15.72,0.45,3,3,3.0,0,0,0,0,0,1,1,2
F0GBR06IV3,Janus Henderson Instl UK Idx Opps I Acc,4,3,2.16325,0.04,0.14,8.18,12.68,12.25,17.27,2.61,0.0,0.33,0.06,1.08,818818087.0,21643.81349,3,0.39,1.05,96.82,17.3,0.19,3,3,3.0,0,0,0,1,0,0,1,2
F0GBR04RX6,Invesco UK Equity Inc UK Acc,1,3,2.34282,-0.23,0.33,8.88,11.81,9.62,17.31,-6.4,0.0,1.82,1.06,1.08,1449275408.0,9416.97258,4,-8.13,1.21,85.9,21.17,-0.23,3,1,3.0,0,0,1,0,0,0,2,2
F00000O61O,Schroder European Alpha Income C Acc,1,2,1.8980400000000002,1.22,5.81,9.47,11.09,9.57,26.0,-3.0,0.0,1.03,0.46,1.17,79375158.0,10585.38767,5,-13.56,1.3,92.28,20.93,-0.07,2,1,3.0,0,0,0,0,0,1,1,2
F0000100NM,Lindsell Train Global Equity E EUR Acc,2,5,0.0,1.26,2.58,6.4,10.97,7.26,16.45,11.57,0.0,0.65,0.04,10.25,8869079180.0,37094.61675,1,-1.63,0.78,82.14,12.91,0.8,2,3,2.0,0,0,0,1,0,0,1,3
F00000TQMF,TM UBS (UK) - UK Eq C Acc,3,4,1.59333,0.2,1.44,8.64,12.52,10.01,15.05,1.43,5.25,1.27,0.28,9.08,251606990.0,16172.22236,2,-0.98,1.02,95.01,16.92,0.11,2,1,3.0,0,0,0,1,0,0,1,2
